	0x	0.25x	0.5x	0.75x	1x	1.25x	1.5x	1.75x	2x	2.25x	2.5x	2.75x	3x	3.25x	3.5x	3.75x	4x
0x	0.104	0.116	0.189	0.332	0.364	0.377	0.342	0.315	0.349	0.276	0.289	0.07	0.337	0.342	0.253	0.261	0.275
0.25x	0.116	0.141	0.231	0.282	0.341	0.354	0.314	0.319	0.323	0.317	0.334	0.321	0.412	0.35	0.286	0.287	0.282
0.5x	0.127	0.221	0.208	0.265	0.375	0.32	0.343	0.324	0.233	0.343	0.331	0.318	0.306	0.401	0.408	0.32	0.315
0.75x	0.137	0.164	0.215	0.249	0.351	0.324	0.323	0.312	0.343	0.4	0.334	0.33	0.344	0.346	0.334	0.354	0.345
1x	0.14	0.168	0.201	0.341	0.369	0.311	0.303	0.318	0.315	0.336	0.332	0.338	0.319	0.359	0.318	0.343	0.27
1.25x	0.165	0.17	0.191	0.283	0.335	0.358	0.407	0.311	0.33	0.34	0.348	0.482	0.492	0.39	0.353	0.335	0.359
1.5x	0.24	0.162	0.23	0.282	0.349	0.305	0.789	0.394	0.315	0.324	0.33	0.278	0.334	0.323	0.317	0.317	0.384
1.75x	0.267	0.396	0.208	0.277	0.384	0.282	0.322	0.319	0.332	0.272	0.274	0.297	0.323	0.654	0.336	0.346	0.307
2x	0.338	0.154	0.204	0.262	0.294	0.288	0.331	0.293	0.782	0.34	0.372	0.287	0.281	0.315	0.305	0.306	0.312
2.25x	0.27	0.159	0.195	0.907	0.412	0.298	0.296	0.316	0.334	0.284	0.291	0.3	0.356	0.322	0.357	0.685	0.376
2.5x	0.353	0.159	0.209	0.271	0.305	0.321	0.314	0.389	0.337	0.31	0.516	0.475	0.453	0.332	0.35	0.373	0.411
2.75x	0.217	0.17	0.19	0.257	0.36	0.301	0.303	0.308	0.322	0.29	0.32	0.335	0.274	0.329	0.326	0.365	0.074
3x	0.326	0.202	0.179	0.272	0.328	0.279	0.334	0.315	0.339	0.266	0.305	0.004	0.273	0.272	0.306	0.265	0.296
3.25x	0.297	0.205	0.189	0.263	0.277	0.25	0.318	0.319	0.325	0.273	0.258	0.316	0.323	0.308	0.329	0.321	0.309
3.5x	0.162	0.213	0.215	0.264	0.332	0.292	0.274	0.324	0.276	0.319	0.265	0.324	0.318	0.393	0.306	0.303	0.278
3.75x	0.305	0.186	0.174	0.264	0.279	0.284	0.331	0.148	0.356	0.208	0.287	0.287	0.277	0.274	0.315	0.277	0.308
4x	0.302	0.148	0.168	0.343	0.3	0.285	0.288	0.294	0.309	0.291	0.333	0.277	0.332	0.297	0.292	0.483	0.28
