	0x	0.25x	0.5x	0.75x	1x	1.25x	1.5x	1.75x	2x	2.25x	2.5x	2.75x	3x	3.25x	3.5x	3.75x	4x
0x	0.132	0.208	0.244	0.334	0.298	0.359	0.435	0.291	0.371	0.268	0.302	0.294	0.358	0.326	0.269	0.266	0.239
0.25x	0.114	0.176	0.224	0.215	0.215	0.222	0.242	0.302	0.2	0.179	0.194	0.15	0.182	0.267	0.166	0.138	0.146
0.5x	0.143	0.161	0.195	0.147	0.143	0.126	0.14	0.178	0.162	0.158	0.167	0.114	0.123	0.113	0.163	0.122	0.117
0.75x	0.162	0.131	0.197	0.168	0.168	0.152	0.172	0.134	0.136	0.174	0.149	0.129	0.124	0.127	0.127	0.142	0.109
1x	0.133	0.165	0.159	0.166	0.207	0.17	0.173	0.193	0.179	0.175	0.152	0.166	0.143	0.134	0.143	0.141	0.195
1.25x	0.175	0.199	0.26	0.262	0.199	0.202	0.169	0.153	0.173	0.165	0.198	0.244	0.188	0.165	0.179	0.17	0.165
1.5x	0.193	0.19	0.249	0.195	0.209	0.212	0.188	0.188	0.17	0.208	0.197	0.191	0.168	0.183	0.171	0.19	0.194
1.75x	0.205	0.239	0.233	0.238	0.238	0.216	0.206	0.211	0.206	0.178	0.2	0.2	0.208	0.209	0.201	0.2	0.213
2x	0.251	0.248	0.247	0.215	0.208	0.204	0.196	0.214	0.224	0.242	0.221	0.219	0.211	0.182	0.214	0.187	0.182
2.25x	0.241	0.217	0.208	0.255	0.253	0.278	0.25	0.245	0.26	0.225	0.189	0.188	0.172	0.186	0.211	0.215	0.22
2.5x	0.27	0.273	0.302	0.283	0.25	0.211	0.184	0.186	0.193	0.215	0.249	0.232	0.236	0.253	0.253	0.217	0.187
2.75x	0.25	0.239	0.24	0.245	0.292	0.226	0.205	0.189	0.217	0.196	0.192	0.168	0.179	0.204	0.191	0.19	0.199
3x	0.228	0.222	0.219	0.21	0.218	0.175	0.185	0.19	0.184	0.203	0.231	0.211	0.223	0.187	0.186	0.205	0.19
3.25x	0.212	0.237	0.225	0.206	0.242	0.216	0.227	0.225	0.202	0.2	0.221	0.214	0.216	0.201	0.179	0.189	0.201
3.5x	0.286	0.257	0.242	0.216	0.211	0.217	0.212	0.215	0.217	0.202	0.186	0.204	0.207	0.209	0.212	0.198	0.199
3.75x	0.235	0.234	0.215	0.215	0.214	0.204	0.213	0.217	0.22	0.225	0.201	0.222	0.208	0.227	0.182	0.186	0.191
4x	0.233	0.245	0.255	0.258	0.258	0.213	0.216	0.223	0.234	0.209	0.196	0.193	0.199	0.202	0.208	0.256	0.186
