	0x	0.25x	0.5x	0.75x	1x	1.25x	1.5x	1.75x	2x	2.25x	2.5x	2.75x	3x	3.25x	3.5x	3.75x	4x
0x	0.048	0.027	0.036	0.049	0.054	0.058	0.07	0.039	0.056	0.037	0.056	0.061	0.06	0.026	0.021	0.049	0.043
0.25x	0.049	0.053	0.057	0.071	0.062	0.051	0.039	0.037	0.046	0.044	0.056	0.057	0.05	0.053	0.054	0.057	0.049
0.5x	0.066	0.065	0.075	0.066	0.072	0.054	0.079	0.073	0.082	0.065	0.073	0.075	0.075	0.065	0.072	0.067	0.056
0.75x	0.134	0.148	0.115	0.165	0.137	0.123	0.105	0.11	0.126	0.098	0.101	0.103	0.108	0.108	0.114	0.111	0.115
1x	0.118	0.174	0.189	0.217	0.214	0.118	0.159	0.159	0.153	0.165	0.173	0.162	0.187	0.174	0.163	0.17	0.251
1.25x	0.102	0.189	0.198	0.217	0.231	0.227	0.186	0.191	0.208	0.213	0.269	0.165	0.167	0.197	0.193	0.181	0.162
1.5x	0.199	0.169	0.228	0.21	0.235	0.229	0.199	0.182	0.213	0.232	0.202	0.193	0.194	0.23	0.214	0.181	0.21
1.75x	0.256	0.234	0.243	0.261	0.241	0.241	0.226	0.228	0.211	0.241	0.229	0.237	0.227	0.214	0.224	0.229	0.212
2x	0.274	0.261	0.247	0.256	0.268	0.254	0.233	0.233	0.219	0.24	0.248	0.225	0.24	0.218	0.232	0.234	0.232
2.25x	0.264	0.261	0.251	0.258	0.262	0.238	0.248	0.23	0.244	0.208	0.249	0.238	0.24	0.247	0.221	0.222	0.236
2.5x	0.286	0.26	0.248	0.254	0.261	0.221	0.238	0.241	0.234	0.237	0.24	0.232	0.234	0.223	0.221	0.227	0.225
2.75x	0.256	0.254	0.264	0.273	0.277	0.219	0.212	0.228	0.223	0.226	0.221	0.199	0.206	0.209	0.196	0.195	0.232
3x	0.261	0.247	0.243	0.247	0.258	0.221	0.229	0.239	0.238	0.223	0.226	0.22	0.213	0.208	0.219	0.251	0.237
3.25x	0.274	0.276	0.252	0.247	0.254	0.228	0.221	0.216	0.219	0.221	0.232	0.249	0.231	0.229	0.238	0.217	0.202
3.5x	0.255	0.25	0.243	0.24	0.239	0.236	0.24	0.236	0.251	0.226	0.186	0.215	0.233	0.216	0.212	0.209	0.223
3.75x	0.263	0.258	0.271	0.274	0.257	0.227	0.223	0.226	0.256	0.217	0.216	0.236	0.231	0.236	0.226	0.233	0.223
4x	0.27	0.291	0.257	0.253	0.245	0.241	0.234	0.232	0.245	0.224	0.236	0.241	0.238	0.237	0.239	0.256	0.215
