	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	0.062	0.187	0.355	0.497	0.52	0.512	0.519	0.486	0.417	0.481	0.443	0.43	0.437	0.439	0.439	0.389	0.358
0.25X Y 	0.141	0.221	0.281	0.448	0.531	0.519	0.443	0.493	0.453	0.465	0.452	0.441	0.477	0.458	0.453	0.459	0.409
0.5X Y 	0.158	0.225	0.284	0.441	0.54	0.519	0.499	0.498	0.504	0.476	0.479	0.447	0.455	0.458	0.46	0.482	0.498
0.75X Y	0.159	0.261	0.299	0.48	0.455	0.46	0.479	0.448	0.44	0.486	0.465	0.475	0.475	0.505	0.473	0.461	0.462
1X Y	0.187	0.233	0.282	0.366	0.531	0.415	0.294	0.441	0.447	0.46	0.451	0.448	0.438	0.472	0.446	0.412	0.43
1.25X Y	0.138	0.222	0.267	0.397	0.454	0.473	0.38	0.397	0.423	0.421	0.358	0.345	0.325	0.413	0.48	0.531	0.583
1.5X Y	0.289	0.258	0.292	0.449	0.592	0.561	0.317	0.406	0.393	0.482	0.406	0.459	0.465	0.456	0.434	0.457	0.522
1.75X Y	0.218	0.278	0.211	0.469	0.569	0.58	0.472	0.385	0.445	0.413	0.455	0.424	0.422	0.499	0.42	0.474	0.494
2X Y	0.314	0.263	0.261	0.442	0.504	0.409	0.408	0.415	0.42	0.423	0.481	0.474	0.518	0.547	0.438	0.419	0.411
2.25X Y	0.337	0.162	0.246	0.447	0.502	0.401	0.455	0.452	0.443	0.429	0.431	0.428	0.385	0.446	0.375	0.486	0.423
2.5X Y	0.105	0.217	0.223	0.458	0.473	0.434	0.403	0.399	0.425	0.368	0.426	0.338	0.482	0.493	0.427	0.447	0.425
2.75X Y	0.075	0.219	0.233	0.424	0.476	0.587	0.344	0.36	0.372	0.318	0.369	0.392	0.344	0.393	0.32	0.315	0.347
3X Y	0.211	0.125	0.192	0.26	0.39	0.362	0.404	0.375	0.324	0.35	0.32	0.367	0.446	0.328	0.329	0.349	0.365
3.25X Y	0.279	0.159	0.256	0.285	0.265	0.338	0.322	0.368	0.354	0.34	0.343	0.359	0.388	0.363	0.38	0.301	0.314
3.5X Y	0.358	0.148	0.54	0.399	0.406	0.403	0.392	0.573	0.238	0.463	0.411	0.4	0.452	0.17	0.356	0.307	0.341
3.75X Y	0.061	0.191	0.254	0.306	0.376	0.382	0.344	0.363	0.378	0.317	0.321	0.362	0.373	0.36	0.335	0.301	0.356
4X Y	0.053	0.175	0.236	0.307	0.441	0.305	0.304	0.308	0.359	0.341	0.329	0.321	0.403	0.397	0.436	0.233	0.428
