	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	0.107	0.275	0.26	0.329	0.4	0.272	0.243	0.219	0.203	0.165	0.111	0.103	0.198	0.113	0.118	0.116	0.108
0.25X Y 	0.136	0.265	0.309	0.338	0.4	0.357	0.287	0.352	0.316	0.292	0.339	0.284	0.261	0.26	0.28	0.234	0.228
0.5X Y 	0.253	0.247	0.265	0.29	0.29	0.285	0.331	0.324	0.349	0.311	0.299	0.293	0.275	0.274	0.265	0.213	0.223
0.75X Y	0.234	0.264	0.284	0.279	0.271	0.274	0.273	0.272	0.277	0.241	0.229	0.236	0.215	0.268	0.23	0.289	0.284
1X Y	0.236	0.263	0.255	0.211	0.21	0.227	0.227	0.221	0.214	0.234	0.225	0.235	0.218	0.21	0.217	0.185	0.185
1.25X Y	0.198	0.211	0.207	0.208	0.192	0.215	0.203	0.214	0.207	0.176	0.162	0.413	0.249	0.32	0.383	0.328	0.436
1.5X Y	0.231	0.242	0.271	0.26	0.323	0.248	0.314	0.27	0.281	0.247	0.322	0.254	0.354	0.377	0.359	0.278	0.334
1.75X Y	0.218	0.293	0.269	0.266	0.263	0.351	0.302	0.301	0.262	0.228	0.321	0.269	0.29	0.31	0.26	0.301	0.29
2X Y	0.267	0.301	0.283	0.263	0.25	0.266	0.248	0.273	0.308	0.253	0.278	0.275	0.283	0.32	0.313	0.345	0.281
2.25X Y	0.259	0.259	0.268	0.303	0.284	0.278	0.255	0.31	0.263	0.288	0.264	0.271	0.284	0.294	0.336	0.35	0.285
2.5X Y	0.314	0.292	0.263	0.27	0.251	0.275	0.264	0.253	0.267	0.314	0.329	0.329	0.317	0.288	0.302	0.302	0.352
2.75X Y	0.277	0.277	0.26	0.257	0.256	0.277	0.299	0.272	0.297	0.246	0.266	0.354	0.249	0.444	0.328	0.306	0.368
3X Y	0.25	0.282	0.258	0.314	0.333	0.277	0.284	0.287	0.375	0.278	0.259	0.287	0.234	0.274	0.258	0.239	0.273
3.25X Y	0.251	0.281	0.267	0.251	0.273	0.245	0.249	0.231	0.239	0.229	0.232	0.23	0.261	0.155	0.219	0.207	0.198
3.5X Y	0.246	0.238	0.233	0.234	0.233	0.283	0.254	0.255	0.236	0.259	0.247	0.271	0.235	0.283	0.207	0.179	0.195
3.75X Y	0.238	0.27	0.245	0.252	0.238	0.247	0.272	0.24	0.209	0.209	0.183	0.185	0.194	0.22	0.205	0.182	0.184
4X Y	0.226	0.295	0.299	0.234	0.305	0.209	0.204	0.218	0.194	0.243	0.23	0.224	0.22	0.193	0.197	0.212	0.287
