	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	0.025	0.019	0.065	0.07	0.04	0.047	0.022	0.046	0.024	0.062	0.031	0.03	0.016	0.025	0.031	0.031	0.03
0.25X Y 	0.085	0.106	0.129	0.256	0.206	0.312	0.313	0.138	0.223	0.145	0.241	0.092	0.17	0.089	0.099	0.105	0.076
0.5X Y 	0.167	0.1	0.113	0.081	0.078	0.093	0.11	0.094	0.104	0.121	0.183	0.126	0.134	0.097	-0.033	0.095	0.087
0.75X Y	0.119	0.139	0.115	0.008	0.132	0.114	0.143	0.121	0.103	0.105	0.082	0.086	0.101	0.125	0.113	0.145	0.087
1X Y	0.12	0.166	0.14	0.113	0.143	0.115	0.134	0.163	0.199	0.157	0.139	0.126	0.137	0.137	0.135	0.118	0.103
1.25X Y	0.157	0.181	0.213	0.223	0.194	0.118	0.114	0.13	0.138	0.137	0.131	0.042	0.113	0.134	0.186	0.215	0.158
1.5X Y	0.336	0.269	0.281	0.243	0.266	0.288	0.156	0.152	0.2	0.275	0.228	0.165	0.211	0.231	0.192	0.219	0.242
1.75X Y	0.364	0.403	0.267	0.285	0.282	0.312	0.285	0.231	0.272	0.258	0.237	0.255	0.226	0.321	0.2	0.215	0.224
2X Y	0.398	0.372	0.359	0.304	0.309	0.271	0.295	0.266	0.319	0.309	0.351	0.27	0.311	0.267	0.25	0.261	0.255
2.25X Y	0.354	0.317	0.323	0.383	0.316	0.284	0.288	0.297	0.273	0.267	0.243	0.297	0.28	0.303	0.285	0.357	0.235
2.5X Y	0.331	0.324	0.326	0.322	0.272	0.308	0.29	0.304	0.3	0.295	0.479	0.245	0.231	0.255	0.289	0.264	0.249
2.75X Y	0.369	0.333	0.384	0.371	0.387	0.382	0.309	0.377	0.34	0.309	0.301	0.324	0.312	0.293	0.254	0.259	0.29
3X Y	0.41	0.353	0.464	0.305	0.314	0.306	0.339	0.275	0.277	0.265	0.257	0.269	0.31	0.256	0.301	0.279	0.292
3.25X Y	0.418	0.377	0.312	0.313	0.35	0.291	0.31	0.402	0.263	0.278	0.268	0.264	0.293	0.378	0.277	0.262	0.264
3.5X Y	0.357	0.343	0.373	0.287	0.352	0.313	0.306	0.273	0.305	0.281	0.279	0.261	0.267	0.256	0.306	0.25	0.25
3.75X Y	0.311	0.384	0.324	0.341	0.293	0.305	0.291	0.28	0.295	0.334	0.267	0.283	0.321	0.265	0.303	0.278	0.3
4X Y	0.335	0.338	0.349	0.393	0.183	0.283	0.27	0.268	0.311	0.281	0.333	0.263	0.266	0.301	0.289	0.254	0.132
