	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	0.195	0.308	0.287	0.369	0.415	0.385	0.433	0.448	0.457	0.455	0.433	0.438	0.451	0.37	0.43	0.424	0.418
0.25X Y 	0.223	0.262	0.324	0.333	0.416	0.379	0.392	0.36	0.345	0.347	0.38	0.359	0.348	0.398	0.381	0.414	0.4
0.5X Y 	0.255	0.251	0.328	0.299	0.302	0.293	0.363	0.315	0.318	0.304	0.338	0.291	0.321	0.346	0.315	0.268	0.3
0.75X Y	0.259	0.295	0.386	0.253	0.262	0.256	0.256	0.258	0.278	0.267	0.228	0.251	0.24	0.287	0.229	0.31	0.298
1X Y	0.246	0.294	0.281	0.238	0.278	0.276	0.249	0.245	0.243	0.241	0.237	0.24	0.227	0.227	0.222	0.251	0.203
1.25X Y	0.305	0.305	0.289	0.269	0.243	0.246	0.238	0.238	0.24	0.227	0.225	0.495	0.275	0.407	0.437	0.335	0.528
1.5X Y	0.243	0.29	0.42	0.262	0.368	0.246	0.371	0.314	0.368	0.331	0.362	0.358	0.453	0.46	0.39	0.319	0.387
1.75X Y	0.286	0.376	0.351	0.34	0.317	0.499	0.351	0.362	0.327	0.355	0.384	0.323	0.253	0.357	0.315	0.371	0.373
2X Y	0.318	0.352	0.372	0.358	0.35	0.312	0.341	0.265	0.321	0.315	0.366	0.344	0.37	0.417	0.426	0.449	0.355
2.25X Y	0.355	0.324	0.33	0.372	0.327	0.316	0.31	0.339	0.321	0.371	0.329	0.345	0.373	0.372	0.322	0.399	0.356
2.5X Y	0.326	0.336	0.315	0.336	0.327	0.289	0.32	0.322	0.328	0.359	0.429	0.318	0.343	0.266	0.387	0.336	0.463
2.75X Y	0.335	0.344	0.298	0.337	0.334	0.234	0.236	0.208	0.246	0.225	0.203	0.346	0.212	0.077	0.272	0.238	0.059
3X Y	0.236	0.225	0.21	0.36	0.304	0.22	0.254	0.238	0.319	0.221	0.333	0.269	0.203	0.222	0.273	0.278	0.253
3.25X Y	0.197	0.226	0.211	0.271	0.22	0.195	0.224	0.223	0.196	0.193	0.187	0.185	0.204	0.227	0.202	0.188	0.172
3.5X Y	0.204	0.259	0.221	0.288	0.197	0.231	0.216	0.238	0.203	0.21	0.193	0.216	0.265	0.302	0.242	0.193	0.208
3.75X Y	0.2	0.236	0.211	0.27	0.215	0.202	0.352	0.205	0.239	0.197	0.237	0.223	0.217	0.196	0.184	0.166	0.189
4X Y	0.274	0.495	0.457	0.252	0.335	0.202	0.201	0.204	0.2	0.278	0.22	0.264	0.255	0.211	0.252	0.245	0.229
