	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	4	10	19	10	8	13	11	11	12	14	8	-1	3	4	-1	12	8
0.25X Y 	14	16	10	12	11	10	15	16	3	6	8	15	6	12	14	12	4
0.5X Y 	14	7	1	0	19	8	6	16	7	15	11	10	11	12	30	6	5
0.75X Y	13	9	12	8	10	10	12	6	4	11	12	11	16	13	16	9	6
1X Y	9	10	9	8	3	8	12	6	10	14	10	17	14	16	10	14	6
1.25X Y	2	16	6	6	7	9	9	13	8	8	7	7	4	8	8	2	5
1.5X Y	9	6	0	-1	6	7	2	16	10	7	13	5	2	11	4	10	3
1.75X Y	9	1	-1	5	6	6	7	10	6	8	12	5	12	10	16	2	2
2X Y	8	5	5	6	5	9	3	6	-1	10	7	6	9	12	7	12	4
2.25X Y	9	5	8	10	15	0	10	4	4	10	12	9	14	8	6	10	7
2.5X Y	-3	13	10	7	3	6	11	8	8	3	15	6	7	4	14	2	11
2.75X Y	4	7	15	2	4	2	8	12	1	11	3	7	11	2	2	0	10
3X Y	0	7	2	3	10	9	7	8	9	0	-3	5	3	1	2	12	2
3.25X Y	4	8	7	6	11	2	7	-1	7	2	15	7	1	7	5	16	8
3.5X Y	11	7	7	8	2	8	-4	3	5	7	6	-2	7	2	-4	-2	-4
3.75X Y	3	9	2	-4	4	0	8	3	5	-3	-5	-9	7	12	-7	6	-1
4X Y	15	15	11	7	6	2	8	11	6	8	13	5	8	9	9	-4	-2
