	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	6100	5577	5872	5423	5613	5051	5053	6225	6354	6560	6526	9179	8461	7740	6070	5563	5951
0.25X Y 	2188	3182	3244	4571	4395	5940	6594	9257	7166	5906	5899	5500	5419	5977	5580	5428	5825
0.5X Y 	2989	4270	6202	3906	3779	2926	3045	3616	5516	5622	4985	2440	2385	2299	8413	4137	3256
0.75X Y	2800	2814	3774	2960	3450	2773	3061	2979	2907	4750	3596	3112	3335	2773	2974	4436	2730
1X Y	2587	2937	3247	3064	4082	3204	3743	3265	3133	3399	2688	3390	2836	2607	2975	2798	3390
1.25X Y	2127	3203	3324	3046	2713	3519	2827	2897	3079	2957	3869	3573	1994	1789	1825	1623	1742
1.5X Y	1437	1832	2466	1706	2000	2127	2650	2095	1941	1447	1539	1333	-146	1823	1336	1362	1718
1.75X Y	1326	2187	1812	1698	1535	1676	1335	1430	1466	1449	2195	1392	1454	2257	2106	1852	1530
2X Y	1387	1615	2102	1499	1705	1538	1706	1762	2359	2194	2317	2041	1686	2044	856	1688	1871
2.25X Y	1515	2126	2098	2732	3178	2660	2610	2363	2475	2308	2107	1998	2278	2129	2219	2302	2323
2.5X Y	2079	2651	2653	2609	2698	3018	2602	2508	2474	2746	2583	2425	2334	2407	2399	2559	2410
2.75X Y	2113	2987	2795	2990	3341	2432	1523	1695	2040	1802	1774	2221	1570	1669	1421	1358	1195
3X Y	1350	1530	1768	1673	1539	1694	1633	1463	1368	1529	1541	1293	1502	1562	2016	1719	1461
3.25X Y	1164	2063	1514	1662	2085	1791	2104	2037	1593	2043	2123	1727	2158	1712	2226	1628	1362
3.5X Y	1157	2033	2708	1523	1982	1826	1727	1891	1968	2114	1649	1532	1427	1488	2415	2070	1361
3.75X Y	1274	1837	1800	1838	1965	1594	1669	1605	1799	2683	1930	1914	1765	3713	9	1647	1826
4X Y	1477	1807	1972	1905	3978	2196	2616	2630	4502	-4	1967	1909	1939	1953	1716	2344	1878
