	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	5934	6827	9143	6260	5759	5312	6120	4509	5399	4477	6726	8081	5560	5674	4338	4309	4273
0.25X Y 	3307	6041	8357	7534	5462	7306	7235	5843	5710	5099	4964	4572	5275	5754	4466	4362	4473
0.5X Y 	3701	8740	8912	6671	6919	5977	6494	6593	8705	5434	5006	4543	4925	6216	6523	5695	5319
0.75X Y	3337	6925	9294	6187	8163	5661	5676	6103	7438	7611	6461	6050	5248	5033	5488	4947	4935
1X Y	3472	6599	7355	9849	9615	7155	6082	5942	5695	5767	5546	5257	5160	5157	5369	6260	5638
1.25X Y	3281	7287	7054	9495	5865	6819	4906	5907	5203	6229	10217	4209	5154	3306	4708	4477	4201
1.5X Y	2312	4876	5725	5522	3843	3380	5965	4595	3891	5110	4647	3470	4585	4116	4042	2912	2875
1.75X Y	1312	5094	6110	4780	4228	4231	4742	4625	2958	3314	3144	3143	3561	5422	3841	3158	2950
2X Y	1570	4054	6259	3890	3695	3201	5298	3344	6197	4027	3453	3312	3086	4246	3025	2887	3080
2.25X Y	1695	4434	5056	7283	6090	4385	4840	5827	4547	3985	3675	3426	5490	3537	3833	6415	4848
2.5X Y	2703	5603	7289	5957	5468	7199	6052	5857	5950	4861	7225	5314	5783	5142	5978	5071	5666
2.75X Y	2569	6214	6267	6348	7696	5170	5223	6852	6665	4615	6094	6582	5058	6016	5898	6597	7482
3X Y	2746	6152	6871	9240	9006	5946	8492	7520	7124	5170	7255	7733	5186	5193	6273	4796	5888
3.25X Y	2953	7151	6589	6731	8550	8762	10385	6224	7788	5330	5417	7163	6606	6344	5233	5857	5562
3.5X Y	2465	7227	6794	6744	8580	5846	4655	7937	6356	7244	5206	6596	6662	7232	4515	5028	5029
3.75X Y	2421	6668	6860	9368	6273	6396	8838	6163	8894	6072	5236	5675	5302	4940	6669	5026	6358
4X Y	3050	6605	6864	10851	8879	5986	8088	6071	5641	5901	7766	5467	6676	5257	5281	7915	4660
