	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	241	317	207	-211	-322	-207	-154	-255	-179	-365	-414	-110	-366	-285	-328	-237	-285
0.25X F	1899	1559	699	-64	-200	59	-171	346	46	154	16	-35	32	-109	-77	-108	-2
0.5X F	2813	2867	2243	160	62	101	338	193	247	160	153	-149	-146	407	438	61	-82
0.75X F	5659	1948	859	410	176	-226	147	-57	252	905	136	-8	247	167	70	330	-82
1X F	3384	944	284	176	1757	214	-2	168	232	-27	-31	10	14	-49	-52	-60	4910
1.25X F	6368	2605	810	524	405	358	124	91	79	237	428	2544	944	954	870	773	938
1.5X F	16888	3359	5400	1819	1106	7216	2164	1088	1170	919	1192	564	3126	2035	561	563	672
1.75X F	43876	5729	2062	1533	1241	2184	1771	772	638	732	1008	2131	5701	1329	1179	877	703
2X F	9865	5652	3239	1017	782	916	1040	6691	1565	1012	999	1184	735	1278	943	638	586
2.25X F	10176	5883	6797	2113	1854	1333	761	811	1032	1360	690	720	872	895	3725	1281	944
2.5X F	8874	1690	676	548	972	2109	1292	1272	1303	3998	1791	1320	387	33	60	124	1027
2.75X F	16562	7088	2468	1936	4679	6552	596	1515	783	4066	316	245	1065	232	146	142	146
3X F	16978	6603	5127	1680	524	2047	276	-11	117	60	-17	528	1438	686	49	-9	592
3.25X F	7239	4601	989	395	1590	1293	2285	695	260	64	952	634	802	89	802	-59	30
3.5X F	6906	10008	4786	2187	118	161	1095	771	1003	873	-27	744	52	402	614	249	262
3.75X F	6098	1613	2081	1751	1116	342	953	1249	614	1602	752	718	24	9	1106	143	810
4X F	8102	2314	1635	1116	5575	778	2397	302	925	318	782	673	724	1503	515	6531	331
