	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	1414	7281	8959	19901	15188	20184	17143	11486	17723	9377	10616	17946	18969	17121	8685	7782	14946
0.25X F	4986	5476	5542	4488	4430	6082	11929	10695	6741	6734	5476	8987	5849	9050	5504	6555	5300
0.5X F	13088	21500	22181	8235	17115	7357	13025	9398	9074	9165	9132	6397	7381	15550	11526	9064	6934
0.75X F	9374	20357	28015	8595	15783	16131	13985	11564	19866	27171	13412	17236	19316	19346	16268	9185	14123
1X F	13113	14455	17732	26490	32296	17641	19818	8049	18855	17980	18963	25848	19761	17734	25427	30288	45175
1.25X F	19806	30048	29245	30044	34605	36081	26951	34639	35111	22083	51924	1869	13888	11202	12756	13747	14866
1.5X F	21470	26929	21987	26222	17314	18497	19751	13304	14139	13743	12782	14952	13827	17366	16389	18795	15557
1.75X F	14990	20679	17177	15977	16222	17696	12403	11847	18536	16524	27273	15210	13423	15196	11942	13360	11871
2X F	17305	18774	20800	15640	16900	24297	23117	22119	14227	14001	13856	14361	12719	13673	12181	17726	11155
2.25X F	20602	24065	28008	13246	16495	28149	16658	13588	16295	14623	19359	17365	15553	13913	11953	15973	11404
2.5X F	17127	17757	16861	16881	17378	18410	20015	18172	16728	20940	21872	16877	15817	13344	13645	11817	9816
2.75X F	18858	26152	27756	21176	25127	27977	12789	11411	18112	24709	12817	12291	29743	12128	12797	10950	10269
3X F	26141	14740	29876	18749	24399	23566	17915	17688	22747	12131	9445	38275	32072	9129	12197	10786	13972
3.25X F	18010	26406	22360	21446	22228	16213	56343	15818	11054	12581	27992	12876	14206	13314	27361	12451	10498
3.5X F	29833	41036	16787	13506	14671	19292	14145	15273	18335	17757	14267	13870	13045	27779	36289	18716	11384
3.75X F	18982	16723	26470	21860	21741	16522	18659	13970	32118	14878	14832	12374	10699	11009	12464	13787	14094
4X F	30597	21210	16195	25239	59058	13998	18675	12468	14797	22801	12444	16939	12839	13666	14402	67009	1187
