	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	1400	24668	31852	44450	17983	16326	25676	38106	21122	13772	12522	29319	30813	12744	15879	18480	14353
0.25X Y 	12880	58560	20202	21693	17312	13766	12226	28621	34856	30167	32061	14201	16141	30686	12401	11529	11312
0.5X Y 	20636	27613	37959	26994	32067	26683	30945	22195	33568	17298	14527	12295	10613	33939	43106	15241	26557
0.75X Y	32535	17962	19897	22490	22746	18795	19377	23374	20005	24533	34404	28476	12978	17316	16844	28087	13169
1X Y	26199	18086	23942	28558	36017	20405	17667	10458	8622	15444	12805	29721	16770	14728	13015	39794	19532
1.25X Y	17064	19839	11440	10876	10378	28238	21286	26661	39568	21880	24520	51517	51073	40620	55552	48841	51883
1.5X Y	58320	36192	50338	54849	47233	58921	47162	49253	43789	50051	49123	41244	49439	47746	50536	35693	49936
1.75X Y	6140	46861	39661	49062	49028	42126	44551	41706	39935	38625	42166	48003	43876	44210	45982	49961	38729
2X Y	50845	48732	45753	47020	51694	39854	44266	48510	50901	42675	42028	46519	40266	48342	44833	44553	37067
2.25X Y	33635	38140	43178	49197	44769	43490	43237	45821	42959	45277	39192	40527	40157	40438	41567	39524	45871
2.5X Y	53222	33383	39274	47980	44512	46993	39761	40147	39578	43396	50759	48920	47719	39603	41476	40512	50383
2.75X Y	25544	37344	43089	52358	49745	28511	37265	37397	41171	34558	37556	33272	40333	40303	40784	33595	39360
3X Y	26191	43017	35229	38084	38355	40163	37705	43380	41421	33939	40845	41075	42321	33886	31277	41499	36320
3.25X Y	48145	34892	33242	36893	34710	38455	40337	38771	35439	40623	40212	40451	37739	35694	34032	40083	40974
3.5X Y	26961	34200	36970	37790	38279	37818	37668	40287	35830	41304	40342	41806	40525	41356	33660	40447	40127
3.75X Y	37884	38639	33537	35944	37914	37201	40587	35142	35968	40844	41548	41544	40241	39362	39958	38829	31859
4X Y	24555	34776	35320	37642	38303	40214	40833	41087	39744	41692	40857	34295	36665	41828	39964	40304	27668
