	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	20757	34668	26075	22981	25875	27008	33451	24420	19753	17942	17533	53108	53556	18499	19014	18512	18210
0.25X Y 	37173	35989	35973	31094	26861	27018	30866	40341	29858	26231	24772	31908	42144	32162	26009	27219	27941
0.5X Y 	36220	42966	56945	29464	33754	30292	44334	41486	43817	36532	36821	32757	29944	34782	48296	36293	37230
0.75X Y	77638	54235	60248	44225	52586	39290	42437	40188	36648	48888	37202	37906	38006	47344	38532	46462	48323
1X Y	58201	74615	36715	34908	37392	31740	29880	35901	39191	44031	35367	49624	44136	37746	30263	41162	35624
1.25X Y	53941	51808	39494	33031	28661	62395	44295	41945	27169	29753	41981	11224	46951	38308	44038	46001	45858
1.5X Y	109637	47754	45474	39646	48240	45096	45975	44632	43876	45169	43143	40148	32433	29200	28954	34032	31735
1.75X Y	106245	111325	50184	44348	43329	43600	41624	41008	36173	34061	36144	35285	47494	44128	42462	41364	39057
2X Y	89679	85610	53628	41948	37863	35449	38492	46093	47363	42716	43775	42132	43275	41443	39196	36724	39490
2.25X Y	57809	44223	53316	54108	42941	43517	42145	44901	40192	36191	36760	39929	36785	35504	42765	44407	30317
2.5X Y	57061	44936	45815	39739	33283	33181	38183	40693	44009	42976	32404	40405	34875	28882	34423	30236	34597
2.75X Y	41869	43090	35527	31588	45722	36518	43679	39278	39026	37126	51189	36317	36655	40520	43401	41004	38637
3X Y	50434	47297	41283	39282	40464	38034	36100	37907	39979	36296	41422	42329	40072	37347	39353	33877	37658
3.25X Y	44578	43084	38085	36143	35057	40567	42693	41263	38318	35156	39867	40404	40116	38492	36735	37504	33985
3.5X Y	43551	44337	40804	36505	35125	38633	38462	38798	35125	38104	34218	35991	39324	46000	34187	36439	35840
3.75X Y	41894	38379	40815	37517	36581	36193	34288	36728	44898	40733	38183	38197	37494	37795	38712	32736	38777
4X Y	41607	39800	40125	44808	42635	40598	37524	38661	38182	35265	41908	38670	34675	38568	39393	38114	27960
