	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	0.089	0.115	0.091	0.106	0.085	0.088	0.074	0.095	0.078	0.109	0.08	0.082	0.069	0.083	0.093	0.078	0.096
0.25X F	0.276	0.304	0.219	0.217	0.258	0.236	0.295	0.252	0.225	0.225	0.244	0.25	0.242	0.234	0.216	0.207	0.237
0.5X F	0.348	0.245	0.292	0.274	0.264	0.294	0.294	0.33	0.32	0.321	0.271	0.264	0.271	0.207	0.31	0.258	0.307
0.75X F	0.413	0.507	0.411	0.321	0.525	0.444	0.527	0.39	0.438	0.575	0.427	0.35	0.36	0.426	0.554	0.627	0.352
1X F	0.539	0.635	0.611	0.607	0.613	0.534	0.549	0.565	0.246	0.291	0.502	0.637	0.473	0.42	0.512	0.383	0.595
1.25X F	0.53	0.553	0.408	0.524	0.342	0.525	0.369	0.434	0.402	0.376	0.299	0.02	0.525	0.532	0.575	0.99	0.547
1.5X F	0.693	0.686	0.598	0.639	0.551	0.836	0.826	0.452	0.667	0.677	0.627	0.618	0.836	0.572	0.757	0.504	0.512
1.75X F	0.684	0.867	0.604	0.617	0.603	0.458	0.547	0.557	0.435	0.389	0.417	0.533	0.382	0.77	0.443	0.383	0.434
2X F	0.662	0.57	0.459	0.553	0.517	0.493	0.409	0.352	0.622	0.579	0.436	0.474	0.419	0.375	0.407	0.562	0.386
2.25X F	0.576	0.602	0.47	0.517	0.46	0.533	0.343	0.444	0.36	0.331	0.323	0.324	0.357	0.293	0.295	0.657	0.343
2.5X F	0.463	0.541	0.484	0.532	0.582	0.392	0.348	0.424	0.298	0.279	0.805	0.298	0.345	0.38	0.301	0.294	0.317
2.75X F	0.522	0.361	0.527	0.309	0.283	0.901	0.683	0.575	0.578	0.612	0.598	0.963	0.655	0.801	0.847	0.651	0.615
3X F	0.775	0.723	0.692	0.634	0.943	0.632	0.774	0.809	0.845	0.559	0.809	0.606	0.758	0.555	0.618	0.741	0.591
3.25X F	0.846	0.962	0.816	0.526	0.792	0.526	0.453	0.678	0.549	0.666	0.539	0.686	0.822	0.729	0.642	0.625	0.656
3.5X F	0.666	0.64	0.755	0.804	0.848	0.729	0.679	0.846	0.6	0.671	0.613	0.759	0.587	0.627	0.675	0.59	0.58
3.75X F	0.743	0.778	0.689	0.529	0.653	0.785	0.656	0.541	0.446	0.703	0.578	0.575	0.759	0.664	0.657	0.656	0.806
4X F	0.633	0.58	0.541	0.321	0.629	0.494	0.505	0.553	0.535	0.525	0.675	0.515	0.468	0.5	0.415	0.548	0.311
