	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	3458	7120	9389	13102	15887	15531	18977	15087	17586	13420	10065	20806	21726	12395	12218	9771	10243
0.25X Y 	1383	5555	9251	11881	12974	14021	15328	19929	14593	13267	13099	16668	19178	16604	13858	14165	14867
0.5X Y 	1472	4976	11428	10430	9704	9840	13394	13568	15184	11467	14823	8694	7555	9485	15951	8577	9566
0.75X Y	3142	6522	9084	6183	10172	5773	5350	4902	3669	10446	5631	4117	4092	8821	3547	9875	9789
1X Y	2438	2852	2689	2026	2637	2798	1989	2521	5267	3031	1668	3371	2725	1721	839	983	3766
1.25X Y	972	2320	1475	1275	756	3305	1889	1254	600	650	1053	9282	12821	23092	20087	20758	25080
1.5X Y	2347	8539	10637	12505	15281	16383	27845	20041	15061	18180	22466	14152	16288	20672	17605	16474	23049
1.75X Y	2615	19543	10014	10101	11562	13426	15275	14979	13855	15152	15516	16493	21244	22714	15554	16176	17464
2X Y	2567	10786	13412	13141	12214	12163	13194	16021	18614	13267	13005	13276	14534	20701	16960	18806	18344
2.25X Y	2145	8152	13236	15943	11164	11156	11983	12011	16673	15413	13380	14440	15968	19200	20379	23288	11294
2.5X Y	2243	6407	9002	10820	11364	10524	12225	12683	15014	18042	31317	19669	12393	15314	17753	16440	21581
2.75X Y	1813	5725	7263	7818	23301	7453	5518	2425	2629	2398	3103	2366	2379	2670	6704	6545	6842
3X Y	1209	3043	3540	5333	3881	2678	2610	2664	2565	2366	2901	3611	2512	2208	2824	2242	2128
3.25X Y	565	3405	2792	3410	3043	2837	3958	2657	2597	2706	2603	2685	2795	2601	2544	2540	2289
3.5X Y	814	4109	2638	3565	2814	3036	2683	3102	2567	2900	2461	2534	4033	5390	1959	2265	2280
3.75X Y	397	2202	2568	2529	2887	2796	2718	2770	5744	3224	2744	2272	2434	2583	2643	2407	2857
4X Y	386	2849	3147	5533	3577	3369	3150	3256	3165	2908	2845	2983	2512	2648	2384	6249	-12
