	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	1188	4846	5088	4631	4307	4789	2439	4115	2230	1673	1196	1395	1618	1053	1292	895	734
0.25X Y 	689	4602	8990	10727	5803	3479	3712	7628	2880	2941	2275	2280	3996	1716	1697	1597	1390
0.5X Y 	1913	5240	7642	3633	4713	3372	10694	8850	9716	2331	7300	2047	1557	1507	4081	822	1878
0.75X Y	2892	4935	6614	4264	9602	2531	2551	1963	1565	6378	1745	1269	1417	5000	1140	4703	4184
1X Y	2370	2390	2397	2177	4094	4070	1532	1270	1865	3055	902	3034	2367	1340	620	448	1923
1.25X Y	1143	2629	2031	1682	1348	3443	1418	931	666	676	642	15751	4634	10739	4001	4864	10589
1.5X Y	1344	5334	6578	5376	5558	6006	17436	14571	5137	5431	13908	4470	5256	8943	4532	4290	5381
1.75X Y	1480	10904	4985	5398	6210	6101	12989	5543	5177	6499	4790	4655	4992	11077	3808	4149	3754
2X Y	1175	7992	10039	10830	6512	5966	6439	5762	15110	4946	5080	5532	4526	13190	5732	8811	4162
2.25X Y	1002	5717	10266	12122	6050	6839	6838	5814	12603	5079	4779	5062	4087	4289	4984	14783	4119
2.5X Y	990	4346	5004	6198	5951	5194	6178	5236	5280	5109	22538	14871	4382	3720	9854	3692	8415
2.75X Y	841	3887	4671	6223	15122	1707	1806	2098	2206	2040	2868	2003	1986	2212	1553	1379	2207
3X Y	231	1721	2071	2262	2823	2451	2261	2196	2081	1949	2203	2021	1763	1815	2041	1813	1874
3.25X Y	214	2193	2142	2225	2322	2286	2760	2202	2163	2304	2291	2269	2571	2371	2336	2260	1613
3.5X Y	154	2037	2119	2451	2531	2544	2325	2870	2191	2598	2144	2119	1933	2607	1697	1919	1864
3.75X Y	188	1850	2345	2357	2510	2415	2206	2423	2738	2464	2177	1839	2193	2107	2037	1806	2442
4X Y	85	2017	2163	2551	2698	2574	2593	2549	2524	2323	2514	2363	1952	1932	1770	1295	-9
