	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	-4	15	12	4	2	8	-4	-8	36	-17	-13	-2	-2	-1	-2	-4	-12
0.25X Y 	5	8	2	6	8	-8	-1	-12	3	-4	-4	-6	-5	10	-6	-11	-10
0.5X Y 	-10	4	0	8	-8	7	-3	-9	-9	-4	-10	-5	2	-1	-4	-8	2
0.75X Y	-1	1	-4	-5	0	2	5	7	-11	-1	5	-2	-1	-17	-7	-3	-17
1X Y	-3	-9	-5	-5	-7	-1	-11	-6	-13	1	-1	-1	-17	-4	-4	-13	7
1.25X Y	-8	4	-1	5	-3	4	-18	-10	-1	-10	-1	-10	4	-1	-1	12	-8
1.5X Y	-5	-3	-4	1	-14	5	-1	3	-1	-18	-11	3	0	5	-4	-7	-6
1.75X Y	-6	4	-13	-11	-2	-4	1	3	-4	-16	-12	-8	-7	3	-13	-18	-10
2X Y	-7	-7	-10	-4	-14	-9	0	-7	1	-10	-7	-1	-1	-24	1	-6	-2
2.25X Y	-1	-8	-3	-1	-3	-6	-5	-1	-10	-12	-1	-7	-10	-2	-14	4	10
2.5X Y	-9	-7	-8	9	-20	5	-4	-3	0	-4	-5	-2	-7	-23	-9	-12	-15
2.75X Y	1	-6	1	-11	3	7	-10	-2	-9	2	-6	8	-2	-6	-1	10	12
3X Y	2	-14	-6	-3	5	-7	0	-14	13	-8	-10	8	-3	1	-10	-4	-10
3.25X Y	5	-6	-5	-7	-4	-5	5	11	1	-8	-10	-7	6	-3	-5	-9	-7
3.5X Y	-8	6	-8	-4	-2	-2	-3	12	11	-7	-2	12	-6	8	10	-5	1
3.75X Y	-12	-10	-7	2	7	-5	-2	-10	4	4	3	3	-9	-9	0	-9	0
4X Y	-7	4	-2	-2	-6	-11	0	5	6	7	-3	5	-12	5	0	3	8
