	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	756	4935	12452	17019	16314	12457	12376	11200	7664	4522	4106	8671	11330	3522	5678	8085	2992
0.25X Y 	143	7406	6727	9791	12889	10818	11044	16055	17151	14483	16040	10721	11224	15827	7422	6395	6338
0.5X Y 	-313	5493	10838	15959	20619	16620	17304	12986	15332	11248	10227	9752	7997	19985	19369	11767	8617
0.75X Y	203	3613	7708	11825	14050	12320	12649	12404	17022	17998	19041	17428	12227	8064	10413	16159	11051
1X Y	-165	3408	6197	15108	18877	14205	13277	8560	6186	6777	10045	12508	10152	9807	10401	18744	11465
1.25X Y	-336	2570	3676	5416	7492	16046	15246	16645	20136	16499	14938	34259	29850	28060	40739	37264	37669
1.5X Y	3135	11891	24124	28679	44564	49035	30941	30212	25220	38235	36303	34004	35302	30427	33129	31570	35112
1.75X Y	2170	13746	19751	30652	39436	38084	33923	37551	30299	31049	29889	31306	32597	29875	28948	31203	32809
2X Y	2081	12049	20296	30313	46663	36511	31989	27526	30561	29276	30599	35270	32891	36439	31118	28948	34255
2.25X Y	1734	9269	18241	30015	33961	32435	31921	35297	33801	32792	29778	33063	32711	34342	33431	29200	29646
2.5X Y	1960	10099	19358	34995	39966	31717	31163	32340	36404	37225	31453	32916	32050	32109	32626	32248	35168
2.75X Y	1496	12849	16495	35502	48718	20846	19734	17740	17331	17313	17499	69112	17029	20485	17287	16556	19481
3X Y	698	9715	12494	21207	21620	19650	20117	24704	20362	19120	20760	19148	21833	19723	19894	24569	19524
3.25X Y	729	8038	11951	24622	14635	20742	22216	24809	21053	20632	20801	21951	24348	23239	21061	22761	21799
3.5X Y	183	8091	17373	22607	21981	22574	24747	26938	20121	20174	20973	22523	21241	22805	19878	18599	24225
3.75X Y	321	9574	14833	25823	22669	21297	22266	20111	23748	23022	20893	21254	21878	20935	21575	20782	20618
4X Y	379	9752	14757	21401	34817	19429	20975	21064	21161	21813	21637	22807	21259	22071	20697	22906	1753
