	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	593	5674	5190	2321	1345	333	268	604	495	147	143	445	706	738	450	195	93
0.25X Y 	-116	3246	2146	1501	1613	913	799	3018	2052	1626	781	558	753	173	107	2	-195
0.5X Y 	-335	2951	7797	3747	3373	1939	1850	1400	1530	761	376	385	256	332	1613	1265	822
0.75X Y	332	3560	5122	2850	3922	1192	1320	1602	1037	2802	2056	1771	1360	964	634	949	551
1X Y	-312	2372	2081	1957	3990	2466	1813	47	-212	356	1293	1271	1133	914	883	985	887
1.25X Y	351	3094	841	244	536	3740	1940	2758	1698	1700	1520	9805	8212	7513	13866	6572	11693
1.5X Y	1872	8119	14049	20299	11474	24876	21844	9410	9304	19319	16874	8218	13434	11962	12989	7054	11318
1.75X Y	1898	8253	9321	10760	11512	10920	19998	21484	9723	8983	14685	7324	14270	8204	6861	6565	6326
2X Y	1711	8005	12944	11560	26293	23468	11080	20249	9023	9771	9184	8728	7599	16215	7041	10084	6229
2.25X Y	1910	8061	15311	11726	10740	10223	11645	22189	9563	16510	7894	7971	7509	7397	15211	6907	6501
2.5X Y	1658	7124	8432	21494	11957	10235	9958	9230	17421	19742	9355	9186	8214	7544	7629	7088	12100
2.75X Y	1786	7545	8272	12295	26420	12045	9790	5668	5455	5640	5176	6891	4568	6176	4534	3379	3940
3X Y	365	6472	8393	13418	7644	7338	9501	11387	5726	5230	6734	4876	6882	4907	4726	6854	4346
3.25X Y	933	6620	7876	8354	11158	7365	6281	11854	6475	6529	5920	8014	8610	6766	4720	4891	4833
3.5X Y	643	6745	12847	8901	8119	8747	11888	11958	6596	5879	5723	6807	5111	5284	6160	4541	4870
3.75X Y	733	7535	8557	14465	8829	7057	7203	5996	7074	9416	5487	5390	4721	4540	7151	4110	5332
4X Y	927	6796	8392	8065	16992	6681	7023	6476	7045	6253	8150	6265	5318	4484	3925	4844	1090
