	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	5939	4437	9872	9486	9705	9951	6193	5473	6140	1826	5054	6608	6022	7959	7303	6389	5386
0.25X Y 	25004	27249	22375	18610	17242	18484	19627	35256	34906	31339	26145	22704	23277	20119	19793	13977	11346
0.5X Y 	24608	49982	62426	51783	52000	50655	35928	44478	41035	31093	33824	30989	28551	52738	-521	49378	49510
0.75X Y	42879	34609	48214	-626	23688	27658	22733	33196	48993	73158	43380	41792	39788	26578	37808	39174	37428
1X Y	38944	28842	36051	35801	61279	37962	34775	26061	21908	24790	26786	35948	30765	33850	32839	36786	52881
1.25X Y	47996	48269	26871	23117	26680	41299	39371	34471	36127	35254	39745	30346	69080	60985	55116	87094	78782
1.5X Y	158078	84397	52807	58046	47038	56977	65299	57176	61147	59287	60078	68183	63579	48959	47722	45148	49023
1.75X Y	130595	169822	61924	63837	53095	55006	58376	56749	53008	45138	46430	35907	62025	75279	48134	66240	51069
2X Y	130684	82244	70993	48048	51156	46534	46978	36536	61481	49962	48266	52947	61123	56218	55696	56142	47091
2.25X Y	60534	52968	80973	66566	48208	52606	47804	49595	50634	48489	49326	52156	37078	40102	62481	57685	49884
2.5X Y	73518	48301	49458	47536	44984	44258	48170	39990	43528	54146	54173	50861	62121	51757	54526	51123	49933
2.75X Y	42705	48831	54774	37067	52707	38060	33626	33949	32769	32464	30124	28590	26006	30687	32893	27503	26044
3X Y	41922	34900	27826	27728	29812	28267	28865	26927	24230	25680	33373	28162	30196	30320	32287	30453	24281
3.25X Y	32436	28731	24877	25114	22739	32498	32411	38520	31086	30728	26672	27553	25637	25111	21125	22460	22096
3.5X Y	31726	34275	39654	28198	26072	28600	26883	28058	25518	26496	23214	24826	25396	39648	31749	28775	25098
3.75X Y	30591	27595	27661	26820	28048	24861	25403	27853	32894	37842	28982	26212	25451	23022	22739	24143	22549
4X Y	34106	31321	30454	38010	29912	40155	36446	28834	31229	27775	33691	34994	43759	42055	36192	41656	21100
