	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	6514	16784	17367	15928	14841	10462	7484	5593	5378	4598	3934	4549	6008	3737	3236	2537	1877
0.25X Y 	12184	18207	17345	13181	14273	13278	18707	23623	18448	15746	16593	13072	11324	9383	10052	8810	7414
0.5X Y 	19964	27429	41004	22138	19262	18033	20766	21297	18345	14212	13599	13627	13289	19830	29049	21090	17462
0.75X Y	28014	20212	25061	15419	15384	14530	14966	16410	32412	33808	23601	22082	20086	22638	16560	24524	21022
1X Y	20581	17790	18576	27747	42938	27411	23125	23652	22263	29279	19617	28127	21787	24408	24282	26555	34887
1.25X Y	33168	29807	26803	28428	29619	40794	28933	28057	27954	27989	27971	21013	18731	17976	17408	16300	19374
1.5X Y	51134	24059	37601	25524	23285	20132	24498	19661	18570	18172	19759	16832	18113	18910	18382	17251	16077
1.75X Y	24625	37627	21143	19892	18720	22634	19971	19828	17380	18316	18452	17187	17464	17857	16277	17223	16703
2X Y	44023	32479	32693	24983	18941	18566	19276	18533	20294	18164	18037	17258	17837	18514	17488	16983	16268
2.25X Y	35540	21447	19903	32359	13881	15952	17918	19763	17148	19538	18339	16865	17776	17104	17193	19018	13601
2.5X Y	18186	17148	19205	22144	18293	18077	18375	18439	18647	19818	22169	16265	14393	14442	14734	14947	17002
2.75X Y	23307	21580	20094	20181	19432	20943	19991	19708	25802	18763	19472	27527	18852	16763	22086	16974	14731
3X Y	25280	21814	21069	20151	27995	16485	22838	23907	26774	17367	22812	25215	19037	22697	16345	16493	16461
3.25X Y	25088	16390	15128	17382	20885	17120	27206	21254	19199	20050	17456	23464	18407	16375	13757	13495	13628
3.5X Y	18262	34347	22895	21686	21679	23652	25460	27662	18979	17798	14915	18270	16030	19905	17125	17769	17247
3.75X Y	20900	29442	20715	28034	19672	17558	15885	18655	20308	20850	16302	17079	17297	20221	20276	17422	19562
4X Y	14279	18615	20812	20876	32573	21691	22576	20489	21111	18026	25481	17873	17458	17448	17734	17925	12983
