	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	5	3	501	9	3	94	-7	-3	0	-13	107	-9	-4	-5	-3	-7	-3
0.25X Y 	2	33	415	1273	908	2204	2376	1834	3333	1065	2685	1	884	187	244	-7	-12
0.5X Y 	2	8	7	5	-6	-3	-6	-10	297	468	5354	217	5	2	5	362	19
0.75X Y	-2	17	-11	-12	-3	-4	-15	7	-10	-2	-3	7	-4	-15	-17	9	-3
1X Y	3	6	-5	1	4	-12	-4	7	-15	-14	-1	-5	1	-9	-6	-19	-3
1.25X Y	6	2	-1	-9	5	5	1	5	-6	-6	14	-2	14	20	205	2083	12
1.5X Y	3	-2	-2	4	-11	6	16	1	5	-5	-2	12	1	-2	6	12	-2
1.75X Y	-7	4	-6	-1	-3	1	3	3	5	-1	4	-9	-18	22	-6	4	-6
2X Y	-12	-16	-3	5	-5	-6	-18	-5	12	10	-4	4	6	2	3	-3	-8
2.25X Y	-8	-9	-9	-4	10	-7	6	-4	1	-1	1	1	-2	-6	5	2	0
2.5X Y	-12	-9	1	-3	-8	-11	-4	-13	-17	3	8	4	-9	-5	0	0	-3
2.75X Y	-7	1	-3	-4	-8	-5	-2	1	-11	6	2	6	-4	14	3	-10	17
3X Y	10	-1	-6	-1	-8	-3	4	-4	-6	2	-2	3	13	-9	-4	10	0
3.25X Y	4	-11	-3	-9	1	-2	-3	-13	9	-8	-5	8	-5	-4	-16	-5	-9
3.5X Y	-7	-2	0	-12	0	1	2	3	-5	-5	1	-11	-20	-3	24	0	0
3.75X Y	3	-6	-9	-5	-11	-11	-10	-7	6	8	-12	1	-5	0	-12	4	7
4X Y	-4	1	2	5	0	1	1	-6	3	-4	11	10	1	1	1	8	10
