	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	1268	5587	5696	8585	6737	3248	2142	2356	2083	1795	1240	1223	1728	1026	1027	764	698
0.25X Y 	476	3129	6186	3096	8368	2617	3605	9156	3342	2911	4323	1950	1542	1210	1407	834	642
0.5X Y 	1277	4157	8202	3629	3769	2384	10199	9361	6276	1413	1477	1117	863	2257	4413	1622	1562
0.75X Y	2412	3108	4244	2445	2152	1589	1410	1342	7024	6324	1565	1693	1477	4002	750	3963	2778
1X Y	1593	2355	2233	1709	3707	1705	1692	1388	1892	3062	770	2456	638	615	423	433	2009
1.25X Y	1090	2338	2792	1638	2133	2356	1508	1052	919	760	635	14142	4198	4644	10105	4420	9385
1.5X Y	3540	5735	12358	12786	14995	5553	16711	6218	6132	5092	13713	4707	11477	11856	10547	4300	8156
1.75X Y	1148	9697	6194	6211	5623	14972	14178	13388	5233	5786	11917	4316	4227	10378	3821	4271	3820
2X Y	1840	7364	10220	11116	6466	5750	5935	5457	13789	4867	5351	5402	10458	12086	9279	9259	4029
2.25X Y	1551	4585	5390	12190	4208	5247	5530	13582	5334	13208	4931	4409	4523	4441	4132	10387	3099
2.5X Y	676	3867	5163	10744	5771	6077	5751	5516	5164	12657	16491	4318	4241	3727	4124	4164	8861
2.75X Y	1106	4583	4854	5726	5967	2045	1945	1931	2396	1724	1842	2885	1743	1867	2436	969	1670
3X Y	256	1929	1933	2102	2633	2142	2452	2695	3154	2167	2309	2640	1623	2373	1416	1354	1410
3.25X Y	157	1885	2034	2103	2600	2309	2804	2060	2171	2192	1994	2596	2512	1670	1482	1419	1493
3.5X Y	142	2504	2283	2287	2589	2517	2483	2668	2002	2321	1859	2400	1420	1828	1207	1677	1536
3.75X Y	115	2101	2160	2403	2288	2353	1997	2100	2244	2073	1719	1456	1574	1850	1936	1627	1915
4X Y	1435	2210	2238	2427	3221	2444	2347	2302	2111	1800	2459	1555	1501	1726	1472	1545	1176
