	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	4260	4557	5329	8614	10700	12173	10036	10670	10304	8245	6979	8310	22502	6799	5987	6077	7180
0.25X Y 	615	3416	5900	7271	9745	8746	11142	19800	8692	9239	9756	9267	9235	9663	8325	8443	8425
0.5X Y 	722	3810	11933	7136	6689	5655	8555	12690	8406	4680	6146	5199	4860	9289	14875	5884	6193
0.75X Y	1220	2856	5208	2797	2244	2209	2273	2354	6449	9428	2660	2559	1778	3802	1605	6198	3596
1X Y	863	1351	1574	1214	2921	779	877	613	1899	1820	491	1638	405	457	284	445	5068
1.25X Y	254	1281	1681	817	1497	1941	1124	848	657	485	585	24453	12794	16921	28675	21786	27926
1.5X Y	4584	10305	20602	13195	20111	16483	19649	13979	14453	13530	19612	16015	19706	23720	22645	16956	27859
1.75X Y	2710	13487	10347	11095	12724	20108	16291	17284	14619	14533	19328	16363	15447	21409	16376	17075	17898
2X Y	2549	9412	12837	12954	12949	11585	13055	14053	18407	13614	14404	16732	18898	23053	21183	22844	16802
2.25X Y	2781	7382	10690	14777	11527	11897	12412	15984	13540	18273	15226	16038	17859	17715	18672	21867	17538
2.5X Y	2284	7088	9072	13775	13289	12914	14123	14746	15305	20584	24889	14477	16559	14383	19834	18936	26065
2.75X Y	2744	7554	9856	12085	16209	2228	2470	2327	3293	2245	2373	6253	4206	2235	2996	4440	1751
3X Y	384	2729	2712	4193	3683	2915	2755	4012	3470	3170	5979	6074	1946	2552	2742	1917	2192
3.25X Y	728	3401	3697	3809	4765	3324	4571	2405	2566	2478	2314	2965	2890	4993	2079	1966	2013
3.5X Y	439	5560	3095	3028	3018	3176	2693	3651	2322	2818	2333	2954	5343	5811	2411	3677	2008
3.75X Y	254	2679	2547	3168	2731	2735	6235	2422	1936	2569	2877	2830	2565	2224	2691	2054	2642
4X Y	4305	6830	5029	5537	4027	2722	2533	2824	2375	4549	3380	3827	5404	2568	1929	6258	1207
