	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	0.025	0.049	0.052	0.055	0.027	0.031	0.031	0.031	0.026	0.03	0.035	0.019	0.015	0.062	0.068	0.089	0.072
0.25X Y 	0.093	0.088	0.088	0.091	0.106	0.108	0.056	0.043	0.102	0.103	0.104	0.108	0.09	0.077	0.08	0.08	0.103
0.5X Y 	0.179	0.089	0.103	0.107	0.11	0.131	0.126	0.117	0.114	0.11	0.117	0.134	0.118	0.07	0.063	0.089	0.096
0.75X Y	0.185	0.188	0.173	0.138	0.167	0.149	0.165	0.145	0.12	0.11	0.118	0.132	0.125	0.128	0.133	0.127	0.121
1X Y	0.145	0.191	0.172	0.131	0.128	0.143	0.148	0.176	0.119	0.157	0.154	0.166	0.151	0.139	0.12	0.145	0.088
1.25X Y	0.153	0.179	0.179	0.167	0.145	0.122	0.132	0.158	0.156	0.159	0.152	0.177	0.181	0.158	0.198	0.185	0.198
1.5X Y	0.22	0.202	0.236	0.162	0.241	0.268	0.187	0.171	0.216	0.208	0.208	0.183	0.236	0.24	0.215	0.233	0.234
1.75X Y	0.272	0.245	0.262	0.266	0.25	0.298	0.229	0.215	0.247	0.214	0.201	0.229	0.194	0.275	0.184	0.177	0.267
2X Y	0.37	0.31	0.295	0.258	0.277	0.237	0.275	0.248	0.265	0.3	0.291	0.255	0.29	0.237	0.208	0.212	0.221
2.25X Y	0.339	0.283	0.288	0.291	0.246	0.274	0.273	0.303	0.259	0.237	0.23	0.227	0.233	0.227	0.257	0.308	0.211
2.5X Y	0.304	0.323	0.314	0.296	0.257	0.266	0.26	0.233	0.24	0.242	0.388	0.202	0.204	0.249	0.253	0.236	0.227
2.75X Y	0.3	0.348	0.312	0.3	0.317	0.253	0.232	0.223	0.225	0.23	0.274	0.276	0.241	0.248	0.24	0.263	0.221
3X Y	0.284	0.231	0.23	0.237	0.227	0.213	0.252	0.248	0.228	0.232	0.255	0.244	0.244	0.2	0.192	0.204	0.199
3.25X Y	0.249	0.252	0.234	0.232	0.235	0.227	0.216	0.182	0.179	0.189	0.183	0.2	0.196	0.235	0.192	0.202	0.2
3.5X Y	0.234	0.272	0.222	0.206	0.197	0.198	0.198	0.216	0.207	0.215	0.18	0.202	0.189	0.267	0.204	0.177	0.178
3.75X Y	0.208	0.207	0.217	0.236	0.206	0.219	0.212	0.218	0.222	0.193	0.189	0.182	0.183	0.176	0.192	0.193	0.174
4X Y	0.213	0.218	0.241	0.233	0.211	0.201	0.197	0.215	0.2	0.196	0.213	0.189	0.183	0.194	0.193	0.203	-0.036
