	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	0.044	0.204	0.319	0.419	0.49	0.468	0.48	0.377	0.387	0.374	0.366	0.325	0.353	0.452	0.334	0.408	0.453
0.25X Y 	0.105	0.191	0.319	0.381	0.415	0.543	0.457	0.409	0.477	0.378	0.432	0.398	0.432	0.468	0.429	0.359	0.423
0.5X Y 	0.307	0.219	0.214	0.406	0.487	0.477	0.443	0.474	0.449	0.445	0.411	0.476	0.487	0.486	0.451	0.451	0.497
0.75X Y	0.221	0.281	0.323	0.361	0.418	0.424	0.442	0.487	0.381	0.363	0.439	0.497	0.504	0.508	0.581	0.541	0.466
1X Y	0.205	0.255	0.273	0.322	0.464	0.391	0.435	0.46	0.51	0.517	0.42	0.427	0.427	0.409	0.416	0.391	0.408
1.25X Y	0.223	0.307	0.381	0.493	0.57	0.513	0.364	0.35	0.386	0.381	0.368	0.485	0.415	0.345	0.594	0.569	0.578
1.5X Y	0.296	0.157	0.263	0.324	0.503	0.576	0.418	0.4	0.325	0.519	0.477	0.483	0.519	0.46	0.434	0.405	0.426
1.75X Y	0.024	0.188	0.254	0.422	0.539	0.589	0.44	0.495	0.438	0.382	0.286	0.366	0.421	0.453	0.418	0.381	0.444
2X Y	0.246	0.121	0.251	0.475	0.576	0.44	0.391	0.288	0.453	0.406	0.418	0.473	0.438	0.487	0.448	0.477	0.39
2.25X Y	0.272	0.105	0.211	0.436	0.449	0.406	0.42	0.42	0.446	0.438	0.427	0.409	0.412	0.449	0.449	0.439	0.416
2.5X Y	0.284	0.112	0.245	0.422	0.504	0.394	0.382	0.392	0.464	0.46	0.403	0.451	0.4	0.404	0.413	0.425	0.517
2.75X Y	0.282	0.165	0.187	0.428	0.603	0.625	0.417	0.344	0.394	0.375	0.354	0.493	0.446	0.533	0.386	0.337	0.526
3X Y	0.401	0.192	0.238	0.524	0.387	0.369	0.414	0.488	0.37	0.347	0.531	0.485	0.562	0.39	0.341	0.603	0.344
3.25X Y	0.889	0.147	0.221	0.378	0.266	0.371	0.366	0.489	0.347	0.353	0.334	0.39	0.526	0.503	0.373	0.387	0.343
3.5X Y	0.288	0.141	0.341	0.329	0.368	0.369	0.434	0.53	0.36	0.325	0.346	0.389	0.396	0.407	0.463	0.345	0.326
3.75X Y	0.235	0.159	0.292	0.467	0.382	0.35	0.358	0.399	0.466	0.458	0.32	0.339	0.329	0.315	0.389	0.326	0.392
4X Y	0.185	0.163	0.269	0.295	0.543	0.337	0.351	0.333	0.384	0.343	0.454	0.423	0.429	0.348	0.459	0.445	0.218
