	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	0.077	0.196	0.194	0.272	0.31	0.332	0.288	0.335	0.351	0.307	0.28	0.317	0.373	0.307	0.269	0.312	0.282
0.25X Y 	0.144	0.249	0.258	0.281	0.29	0.265	0.292	0.333	0.265	0.265	0.29	0.291	0.292	0.292	0.31	0.32	0.286
0.5X Y 	0.185	0.199	0.279	0.26	0.215	0.234	0.259	0.247	0.268	0.211	0.255	0.215	0.249	0.231	0.263	0.207	0.18
0.75X Y	0.189	0.212	0.269	0.18	0.222	0.181	0.181	0.176	0.186	0.228	0.163	0.155	0.145	0.197	0.133	0.231	0.199
1X Y	0.15	0.225	0.214	0.195	0.218	0.212	0.18	0.158	0.17	0.176	0.144	0.177	0.16	0.16	0.156	0.133	0.187
1.25X Y	0.184	0.198	0.209	0.182	0.194	0.2	0.166	0.169	0.194	0.194	0.132	0.064	0.183	0.403	0.373	0.385	0.521
1.5X Y	0.324	0.319	0.374	0.352	0.347	0.351	0.487	0.354	0.32	0.368	0.403	0.341	0.459	0.433	0.437	0.405	0.463
1.75X Y	0.284	0.507	0.306	0.328	0.333	0.34	0.396	0.365	0.366	0.419	0.368	0.363	0.319	0.415	0.319	0.374	0.393
2X Y	0.387	0.388	0.44	0.367	0.376	0.333	0.349	0.304	0.375	0.282	0.34	0.355	0.288	0.396	0.381	0.4	0.316
2.25X Y	0.334	0.325	0.391	0.396	0.307	0.349	0.352	0.314	0.335	0.359	0.358	0.374	0.331	0.396	0.313	0.433	0.375
2.5X Y	0.379	0.376	0.336	0.337	0.356	0.336	0.334	0.332	0.349	0.327	0.309	0.403	0.329	0.393	0.411	0.405	0.487
2.75X Y	0.317	0.376	0.34	0.404	0.47	0.212	0.211	0.22	0.222	0.228	0.285	0.242	0.233	0.261	0.25	0.233	0.315
3X Y	0.22	0.217	0.213	0.23	0.242	0.251	0.237	0.224	0.242	0.186	0.216	0.182	0.199	0.189	0.185	0.201	0.192
3.25X Y	0.227	0.269	0.22	0.245	0.228	0.217	0.198	0.199	0.195	0.198	0.188	0.205	0.204	0.218	0.218	0.208	0.209
3.5X Y	0.217	0.175	0.223	0.217	0.207	0.184	0.201	0.208	0.195	0.215	0.196	0.179	0.193	0.257	0.207	0.179	0.185
3.75X Y	0.194	0.228	0.225	0.221	0.203	0.208	0.214	0.188	0.208	0.218	0.2	0.194	0.203	0.196	0.185	0.184	0.199
4X Y	0.211	0.218	0.23	0.228	0.23	0.197	0.2	0.203	0.199	0.199	0.212	0.191	0.189	0.19	0.191	0.243	0.193
