	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	0.026	0.203	0.255	0.283	0.181	0.128	0.089	0.073	0.055	0.079	0.076	0.068	0.025	0.036	0.038	0.072	0.074
0.25X Y 	0.091	0.236	0.293	0.338	0.231	0.226	0.216	0.249	0.169	0.152	0.161	0.153	0.21	0.152	0.122	0.135	0.122
0.5X Y 	0.161	0.242	0.234	0.285	0.297	0.296	0.298	0.286	0.307	0.251	0.206	0.206	0.204	0.158	0.102	0.106	0.107
0.75X Y	0.098	0.238	0.27	0.291	0.375	0.279	0.318	0.37	0.249	0.187	0.178	0.164	0.169	0.174	0.138	0.201	0.184
1X Y	0.112	0.215	0.273	0.28	0.318	0.195	0.204	0.324	0.347	0.332	0.151	0.225	0.188	0.132	0.117	0.092	0.074
1.25X Y	0.047	0.228	0.43	0.434	0.389	0.307	0.184	0.257	0.14	0.132	0.114	0.327	0.338	0.337	0.367	0.344	0.433
1.5X Y	0.03	0.2	0.195	0.305	0.393	0.303	0.369	0.307	0.293	0.324	0.334	0.313	0.327	0.371	0.359	0.262	0.349
1.75X Y	0.022	0.149	0.217	0.307	0.331	0.395	0.34	0.357	0.328	0.293	0.322	0.291	0.353	0.316	0.32	0.232	0.29
2X Y	0.017	0.12	0.177	0.321	0.27	0.353	0.325	0.348	0.384	0.296	0.302	0.308	0.282	0.361	0.307	0.248	0.257
2.25X Y	0.015	0.15	0.226	0.294	0.324	0.308	0.332	0.332	0.304	0.345	0.314	0.287	0.277	0.316	0.348	0.326	0.267
2.5X Y	0.023	0.138	0.182	0.328	0.268	0.314	0.305	0.296	0.331	0.354	0.296	0.31	0.285	0.268	0.293	0.301	0.324
2.75X Y	0.021	0.141	0.167	0.335	0.445	0.631	0.389	0.303	0.316	0.324	0.288	0.499	0.252	0.45	0.247	0.214	0.198
3X Y	0.034	0.181	0.262	0.265	0.339	0.325	0.401	0.383	0.291	0.282	0.346	0.258	0.429	0.241	0.228	0.482	0.219
3.25X Y	0.435	0.19	0.267	0.325	0.291	0.333	0.303	0.347	0.283	0.291	0.289	0.335	0.339	0.335	0.259	0.245	0.238
3.5X Y	0.028	0.179	0.342	0.268	0.319	0.318	0.373	0.375	0.304	0.274	0.284	0.3	0.25	0.261	0.333	0.22	0.221
3.75X Y	0.023	0.18	0.287	0.298	0.314	0.313	0.304	0.311	0.338	0.343	0.259	0.258	0.237	0.243	0.306	0.226	0.266
4X Y	0.017	0.159	0.279	0.237	0.391	0.293	0.292	0.288	0.301	0.277	0.345	0.305	0.274	0.223	0.221	0.243	0.279
