	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	0.058	0.041	0.24	0.167	0.346	0.339	0.032	0.026	0.394	0.052	0.058	0.05	0.025	0.029	0.022	0.035	0.228
0.25X Y 	0.086	0.096	0.097	0.301	0.325	0.311	0.319	0.294	0.285	0.184	0.075	0.3	0.338	0.085	0.09	0.09	0.176
0.5X Y 	0.169	0.124	0.108	0.098	0.089	0.094	0.099	0.093	0.113	0.112	0.117	0.126	0.148	0.115	0.172	0.099	0.109
0.75X Y	0.119	0.165	0.114	0.106	0.126	0.117	0.15	0.141	0.111	0.109	0.105	0.119	0.125	0.116	0.123	0.115	0.106
1X Y	0.136	0.166	0.156	0.127	0.121	0.141	0.154	0.199	0.191	0.211	0.16	0.165	0.152	0.15	0.133	0.139	0.102
1.25X Y	0.215	0.247	0.287	0.272	0.263	0.161	0.137	0.162	0.163	0.162	0.168	0.03	0.12	0.135	0.179	0.218	0.166
1.5X Y	0.324	0.258	0.289	0.22	0.265	0.289	0.156	0.15	0.206	0.279	0.23	0.166	0.213	0.236	0.182	0.231	0.24
1.75X Y	0.367	0.405	0.273	0.284	0.279	0.309	0.29	0.226	0.284	0.259	0.233	0.247	0.231	0.321	0.199	0.218	0.259
2X Y	0.405	0.371	0.359	0.296	0.312	0.277	0.292	0.267	0.321	0.315	0.312	0.279	0.31	0.257	0.251	0.261	0.258
2.25X Y	0.351	0.315	0.315	0.393	0.314	0.28	0.285	0.293	0.272	0.259	0.25	0.29	0.287	0.297	0.294	0.357	0.245
2.5X Y	0.329	0.324	0.321	0.321	0.272	0.3	0.308	0.303	0.299	0.296	0.484	0.244	0.235	0.254	0.29	0.253	0.247
2.75X Y	0.372	0.337	0.379	0.382	0.386	0.242	0.235	0.237	0.248	0.245	0.279	0.299	0.258	0.269	0.257	0.295	0.248
3X Y	0.317	0.237	0.283	0.279	0.271	0.253	0.241	0.28	0.255	0.256	0.28	0.274	0.247	0.228	0.228	0.236	0.231
3.25X Y	0.293	0.291	0.278	0.272	0.276	0.261	0.259	0.181	0.206	0.217	0.232	0.242	0.249	0.286	0.241	0.24	0.237
3.5X Y	0.285	0.293	0.253	0.208	0.228	0.247	0.256	0.263	0.266	0.264	0.231	0.244	0.237	0.301	0.202	0.169	0.207
3.75X Y	0.245	0.241	0.27	0.293	0.249	0.251	0.254	0.254	0.223	0.194	0.209	0.222	0.233	0.228	0.245	0.241	0.213
4X Y	0.259	0.273	0.293	0.257	0.254	0.198	0.198	0.226	0.211	0.203	0.22	0.201	0.202	0.216	0.229	0.211	-0.037
