	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	1028	19200	40320	37639	37174	49591	43872	34408	33169	19235	35276	36644	39511	36037	33853	31283	33878
0.25X F	21360	19054	34327	33448	26918	32478	42473	35031	32117	28618	28654	30163	30897	29301	28462	29478	28137
0.5X F	20071	20584	31176	27270	22326	22877	29445	30653	29976	27522	31148	26500	27296	38935	36502	25260	25195
0.75X F	12738	18030	28179	28958	30727	21667	21671	23104	28963	33512	21272	20538	18281	21955	21600	27337	22596
1X F	9471	12444	22234	28749	35467	18241	16940	16072	20447	21391	19044	18443	18693	16488	21135	24179	44149
1.25X F	12169	7305	20450	33988	22744	29662	25348	20564	27368	27726	39914	43774	24031	26024	65814	27256	27128
1.5X F	15933	20655	25831	24788	25338	28203	72933	25153	24790	24692	24501	24695	23640	22081	22478	24480	24569
1.75X F	15639	33702	62364	24636	22600	25180	54681	22646	21382	22693	23697	23556	24656	69915	25078	26036	25129
2X F	15812	37169	65026	59298	23644	24024	25754	25064	67034	25209	28394	26406	24464	71421	22652	62287	22739
2.25X F	15761	18151	23484	69302	24081	25440	27042	25025	60387	24048	26525	24137	24081	25307	28774	69601	24633
2.5X F	15771	18311	22652	24436	23115	26506	26034	25122	26143	30034	70321	26780	28380	25933	28008	28554	72733
2.75X F	17940	28838	25761	25966	29323	76849	56619	60170	58034	75801	59194	63740	70442	66252	68236	65469	81233
3X F	17310	27291	54297	61691	52651	55823	69774	54717	60819	64245	66332	65027	75343	52484	54246	57070	56395
3.25X F	18134	36278	55427	59487	59850	60188	65908	76026	58544	52220	56180	60512	70435	61727	78049	60917	59418
3.5X F	20267	31491	69155	76615	55196	52100	74664	65121	52731	67559	65421	64332	71128	72287	78028	58429	64035
3.75X F	17452	29283	67197	64222	69206	67368	61976	62310	69908	83407	62760	62146	62929	57292	75971	68991	66723
4X F	19497	32822	60897	71946	45540	61772	64489	63389	67892	62120	66174	67531	66982	79251	68470	72453	20039
