	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	2096	7690	9210	14889	12019	16059	13281	12798	15504	13282	14539	13166	9406	8737	7952	7601	6810
0.25X F	9896	11509	9841	10077	10623	12116	13320	12728	9800	10210	10008	10884	11448	10980	10869	11169	11619
0.5X F	9264	16774	12864	8072	9783	9290	9306	9699	12071	10822	10324	10488	10238	15055	13601	9320	8118
0.75X F	6628	9174	8506	8976	8743	8959	9207	10127	14308	11376	9331	7499	7862	8258	8690	8333	7781
1X F	7185	8819	10375	15669	11326	9027	8414	8692	8958	8477	8846	8701	8171	9284	10747	14684	13321
1.25X F	6588	9970	11294	10534	10064	13255	8862	10518	10354	11770	19917	29416	19947	19490	18989	19949	26561
1.5X F	14865	20421	17307	15196	13944	14568	26806	25488	19366	19155	19838	17981	17218	14394	12472	12316	11651
1.75X F	9677	25324	20020	18609	18940	18336	20196	18530	14635	14369	12441	12856	13087	25380	19671	19899	18285
2X F	13967	18489	24133	19294	14716	13837	13793	15877	25086	20116	20633	19062	17871	18367	20740	19848	16341
2.25X F	11907	16489	18806	26162	19867	19981	21296	19735	18474	18339	18833	18225	16855	17928	20017	25108	19986
2.5X F	15620	21209	20142	19854	19528	19033	18020	19136	19124	20265	28038	21080	20147	20411	24463	20471	20821
2.75X F	15409	21303	21010	19915	24139	16930	13336	19239	12428	11337	15339	15197	9459	9673	7953	8861	10940
3X F	7887	6838	6811	6662	6235	6233	9019	7209	7556	7340	11851	8322	24056	6591	5832	4871	5729
3.25X F	3118	8477	7921	7740	7678	8250	16987	20059	7492	6922	6603	6097	11964	11822	10619	7669	6694
3.5X F	2679	10809	17080	8701	9338	6330	5355	8420	7913	8139	4530	4488	4077	13451	22191	13922	8622
3.75X F	2261	2597	2976	5276	3994	4252	5510	5252	9022	21744	14339	8796	12303	5979	5801	5122	4772
4X F	1433	4763	4986	12334	30147	11551	18351	10949	18407	9353	15458	8375	9772	6164	7365	25515	29256
