	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	3938	22709	16398	20255	22927	17011	38421	14663	22252	17511	12105	13240	19444	20113	16934	19385	12562
0.25X F	22724	30374	35591	28343	24278	25851	18430	32886	32308	28650	27867	23506	35260	28997	23301	22721	26093
0.5X F	26661	27992	42178	35499	34831	28131	28705	29011	31217	25596	27517	23776	22016	25786	39331	30884	28755
0.75X F	31857	30132	49076	28230	28672	25718	26354	23688	30319	10729	10526	11030	8437	11201	7711	14975	9419
1X F	9256	8428	7666	8106	35803	35247	35538	27386	26037	31879	24458	32979	22604	27068	26912	36033	7306
1.25X F	45235	39975	33891	34094	33983	48285	31985	34460	27914	33588	46400	6862	40959	31892	39254	27787	31808
1.5X F	42695	40373	43979	35926	37987	46768	42651	38155	32332	31708	30274	29893	29613	36025	47707	36909	37411
1.75X F	47078	50130	36277	34981	32619	32960	37372	33150	32679	32281	32570	31878	36933	44438	29368	35678	28717
2X F	45000	46696	44690	42697	39004	33329	38510	39061	45790	36086	35760	35361	33404	40029	31720	46963	29464
2.25X F	47377	46121	41901	43805	35678	36756	36570	35520	35725	34996	35229	30879	35308	37191	39916	44097	31409
2.5X F	47077	39308	34403	35731	37007	37552	33977	37372	37968	40879	43752	33445	30891	30548	39038	29508	37831
2.75X F	43783	43146	41725	39222	41642	44622	37080	37870	40381	35116	46997	34364	33245	35025	36314	36164	32821
3X F	52238	36465	43176	33614	45854	32573	47813	37379	34438	32819	29615	34249	40203	32805	33485	33186	33172
3.25X F	52764	37569	30767	28862	32364	34704	38049	42129	35485	34527	35310	45773	43180	44167	32312	31387	30820
3.5X F	42437	43103	52096	37490	37618	49758	45516	49232	33887	35447	36072	38415	37701	40823	41029	34295	36277
3.75X F	43468	49572	39117	47968	45352	38696	37648	37981	41169	43262	41820	37414	34061	35620	45242	35670	47190
4X F	44660	41660	46014	38436	50951	40378	46512	37883	35676	37150	49892	36314	37133	35775	35185	39257	6558
