	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	-48	371	152	-84	-264	-309	-199	-328	-111	-271	-299	-369	-344	-372	-364	-348	-417
0.25X F	1092	372	-8	-143	-305	-362	-162	-139	-153	-95	-174	-215	-199	-212	-179	-160	-234
0.5X F	2290	1571	610	-120	-218	-131	-139	-74	-128	-145	-225	-209	-160	-49	-158	-61	-150
0.75X F	3377	617	145	20	-25	67	-119	-37	-32	-165	-122	-122	-24	-91	-90	-185	-168
1X F	2992	686	164	19	-140	-64	-52	-66	-109	-140	-159	-105	-195	-147	-192	-126	-190
1.25X F	2666	1249	400	68	47	60	12	-44	-33	-114	139	3552	960	885	872	743	1338
1.5X F	8963	5700	1758	1063	928	1036	2251	1569	1002	667	629	548	458	451	338	436	299
1.75X F	9926	6893	1904	1319	828	812	869	862	493	550	395	535	733	1195	808	601	660
2X F	8356	4975	3343	1064	747	796	649	889	1681	1119	1018	704	718	1019	627	926	348
2.25X F	7973	3501	2661	2374	1252	974	1400	786	727	677	754	554	476	581	858	1182	743
2.5X F	12908	5356	2319	1469	1229	1089	980	1093	943	1174	1885	993	957	840	1363	931	842
2.75X F	6167	5930	3073	1336	2050	1575	1294	2180	1410	1217	1882	1412	843	785	369	605	1048
3X F	19817	5423	2617	1845	1318	980	1307	590	511	599	987	1788	2345	734	583	328	440
3.25X F	8910	5696	1241	1129	2132	1373	4218	3043	907	840	750	459	1025	1341	547	345	347
3.5X F	6807	6054	6652	1894	1314	1153	1124	1158	1000	1006	588	331	761	1559	2283	1381	897
3.75X F	9651	3802	3140	1821	723	897	519	595	2670	2664	1648	933	1520	864	672	570	852
4X F	7867	3041	2226	3564	3702	1611	3177	1516	4496	1366	3318	1805	1664	1214	2216	4436	437
