	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	206	194	-136	-175	-174	-143	-91	-199	-94	-154	-208	-211	-317	-247	-257	-221	-288
0.25X F	1252	806	204	-11	-97	-148	39	86	-98	-54	-107	-88	-27	-130	-33	-37	-57
0.5X F	1598	2181	1079	-53	-104	-77	-66	42	265	116	-51	-5	-30	414	196	-11	-169
0.75X F	2337	853	282	176	190	206	39	168	554	14	-6	-133	-28	-124	-47	-125	-126
1X F	2923	1074	564	663	128	88	31	-13	-11	-7	-49	24	-88	-4	-4	294	43
1.25X F	3623	1569	898	307	275	571	149	116	184	221	1026	1585	354	251	158	245	1008
1.5X F	7319	3634	1120	638	631	426	1441	1261	528	351	395	383	372	353	223	202	55
1.75X F	7946	4704	1077	548	700	604	760	1165	415	365	328	255	204	843	293	189	154
2X F	6973	2515	3224	1375	729	716	411	584	1054	532	478	351	327	396	570	846	205
2.25X F	7282	2789	1515	1661	623	486	945	440	396	446	493	419	274	413	357	691	222
2.5X F	6848	3036	1442	846	803	519	434	601	419	507	1199	503	350	345	1026	287	359
2.75X F	6770	3317	1789	623	1416	998	468	1237	295	215	616	568	-28	-30	-145	-92	115
3X F	6623	1928	853	333	246	168	301	119	8	-93	467	17	1226	-165	-219	-321	-175
3.25X F	3435	2431	205	191	422	88	1203	1674	49	-38	-36	-185	157	343	72	-298	-264
3.5X F	2602	2843	3154	520	318	116	80	160	192	106	-188	-326	-181	700	1097	327	-95
3.75X F	3414	571	43	329	-185	-62	-80	-137	554	1387	703	-27	314	-185	-226	-249	-294
4X F	1975	657	286	1267	3229	734	1477	280	1687	109	1044	205	226	-85	54	1943	1794
