	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	5199	14400	12431	12915	11669	13322	12942	9331	6976	7055	9715	9747	11640	46313	10657	10522	10483
0.25X Y 	9873	12885	13451	14555	12715	11857	12376	21330	15159	13557	15475	10951	14684	12419	10543	11010	20726
0.5X Y 	16731	15507	33508	20869	18308	13479	19990	17706	22119	15820	12941	14700	13976	17878	31367	17666	15559
0.75X Y	16186	17154	25075	23823	18759	14001	14730	16595	24224	46860	21576	17786	16832	19902	18894	18859	16375
1X Y	16170	15209	16118	27505	62857	26693	23180	20495	22409	20548	19781	33318	18919	19830	19504	26446	16800
1.25X Y	36048	30279	26050	29030	28724	38620	25392	31060	24114	26469	41351	24678	20931	20971	23483	22282	21808
1.5X Y	18727	22190	27280	21366	25386	19924	36161	23889	20944	18549	22350	15929	17206	16045	17977	19373	15581
1.75X Y	17971	27546	20549	18194	23955	17563	22102	21440	17305	15155	16141	15600	14467	24370	19403	17946	17481
2X Y	30817	27708	29033	24296	21224	14856	15871	17236	26494	22442	18733	16800	17144	20983	21703	18032	17929
2.25X Y	18521	19044	22396	39840	28904	22559	22699	19909	19243	18078	22457	16798	18990	17280	19637	40543	29980
2.5X Y	32216	25270	24438	25493	30131	24553	20616	21172	26312	24001	35201	31236	31337	30848	37435	31896	27750
2.75X Y	30655	27617	27438	27953	55691	19191	13663	14851	14784	21201	20649	15664	15585	20499	16307	13332	14573
3X Y	27509	21273	15220	14833	27300	13876	19714	16315	13779	12392	12906	13842	19971	16037	12545	13503	12216
3.25X Y	26469	25388	15557	17042	16037	14904	13499	22733	14315	13779	15385	14755	22484	21426	17812	16607	12736
3.5X Y	16723	15957	28700	16741	13290	13949	14257	22717	22962	22308	16492	15452	14967	15790	23974	18785	15298
3.75X Y	19213	18227	20514	27634	17154	16069	14940	15354	18855	26402	19683	16704	16848	16788	19665	19318	24498
4X Y	20923	20536	20446	21630	46495	20427	23763	20782	28577	19626	25773	21023	20309	19229	20124	21192	26214
