	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	1966	5809	7197	4939	4151	4338	5572	9209	7150	5651	4681	3808	7875	6559	5486	6140	6856
0.25X Y 	12481	5596	7032	5283	3584	5384	6189	4706	4769	4203	4481	4283	5439	4649	4635	4617	5000
0.5X Y 	9753	15082	8454	5580	5014	4167	4420	5946	5873	4701	4006	4411	4353	6865	6653	5385	5113
0.75X Y	8242	9639	9887	5732	7008	3591	4060	3876	6300	6572	5610	4729	5043	6482	6733	6531	6176
1X Y	9348	5586	5289	6229	7638	5905	5323	5197	4821	5414	5590	6789	5138	5376	5158	8928	9535
1.25X Y	10917	7856	9982	8748	6397	6899	6250	5369	5423	7704	8483	10289	8406	7811	10584	7527	10689
1.5X Y	33112	8035	13539	10173	6393	7453	12164	10202	7019	7622	8864	5994	9627	9495	7151	6446	10765
1.75X Y	12684	20618	9826	10466	8118	6620	7120	8628	7230	6478	6626	6863	7649	12760	7777	7380	6732
2X Y	13520	8044	14365	8923	6251	6549	7513	6878	12696	8732	7379	7135	7129	7417	6159	6301	5942
2.25X Y	11738	8172	7985	17349	9793	7322	8146	7563	7914	9067	6229	5798	10053	6721	7922	15819	10301
2.5X Y	17127	10893	11315	9700	8223	10460	8028	6854	8224	8642	15129	12609	14182	10624	11283	10792	11637
2.75X Y	13837	10989	10718	10668	11367	11430	12838	13164	16076	11425	15033	16726	12780	17015	17793	13941	-368
3X Y	21483	19182	14117	17565	16671	12787	13622	16656	14048	12947	18263	1285	12183	12494	12988	12957	13676
3.25X Y	22501	25110	16131	14997	18450	14774	11290	13786	13722	14664	12770	15604	15678	16277	16399	16678	14647
3.5X Y	33816	22421	17526	15777	15267	14325	13376	16803	15203	17269	14593	16731	17316	15891	15340	13279	12682
3.75X Y	33519	23942	17234	18858	14845	13658	14773	14856	17584	15224	15410	13787	14693	13538	15933	13449	14925
4X Y	33794	17553	16818	19891	16339	13116	14889	13594	13012	13063	14411	12600	13800	14154	13225	13650	12683
