	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	948	6459	10723	9389	7476	5511	5380	2369	3861	2472	5084	2073	3456	2867	1617	1463	1176
0.25X Y 	2395	4820	10036	9935	7382	9007	7956	8511	6947	4494	4845	3727	4600	4760	3232	2594	3240
0.5X Y 	5132	10170	12067	11236	9931	8858	9426	8425	8993	6502	5417	4645	5272	7506	7438	5923	5201
0.75X Y	6151	6783	11200	11238	11010	8779	8899	9048	10321	10151	8873	7903	6751	5778	6243	5211	4778
1X Y	6966	7483	10911	14008	12538	11068	10311	9536	8727	7965	7446	6541	6694	6108	6382	8150	7568
1.25X Y	7411	7546	10583	13075	10937	10800	8508	9190	8222	9460	8845	6812	8097	5650	7015	6654	6150
1.5X Y	8058	5703	8933	8323	7582	7771	9757	9022	7793	8715	7556	6107	7629	6482	6072	4573	4039
1.75X Y	5620	8063	9892	9383	7970	7463	7800	7544	6464	6355	5807	6250	6070	9850	7596	5943	5217
2X Y	3841	5057	9809	8008	6951	6563	8634	7753	10816	8613	7735	7281	6698	7424	5709	5002	4984
2.25X Y	3465	5923	10233	14010	12232	10366	10462	9857	9521	8246	7383	6639	8985	6935	7907	11762	9538
2.5X Y	4921	8526	12414	11831	10108	11266	10295	9552	10519	11748	13576	12295	12136	11160	11027	9765	10194
2.75X Y	7305	8517	12121	14444	14842	7058	7147	6938	7353	6058	6405	6692	6445	6424	6166	6404	5434
3X Y	4418	7257	8761	8935	8294	7096	7232	7189	7197	6693	7497	7157	8251	8134	7704	6950	7004
3.25X Y	4245	6570	7893	8711	9882	9175	10868	10501	10621	9104	9345	9701	9326	9257	7750	8208	7289
3.5X Y	4596	8514	11218	11124	10899	9932	10027	10929	10020	10848	9689	10344	10704	12474	9761	9455	9063
3.75X Y	4351	8489	10549	12753	10769	10907	11610	11219	13209	11437	10769	10371	10107	9829	10436	9342	10669
4X Y	5443	7776	11518	15634	12573	11919	11998	11278	11365	11407	12441	10909	11506	10672	10755	12179	9504
