	0X L	0.25X L	0.5X L	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X Y 	3963	5042	5379	5728	5269	5100	5298	4522	5198	3776	3970	3599	5102	5374	4789	6000	5207
0.25X Y 	11779	12499	12376	11778	11883	13043	11554	15086	12270	12539	14191	12008	13357	11168	11623	11257	13629
0.5X Y 	14497	15137	24072	18425	17141	15762	19949	19093	19383	17537	14659	14963	14464	14659	23269	18215	16582
0.75X Y	18751	19220	23769	22327	16784	16904	17216	17589	22395	27454	20556	20411	20353	23826	24118	17994	17729
1X Y	17527	20212	19806	26407	32886	20823	22479	22387	22230	22778	22085	27150	22654	22888	21965	23379	24214
1.25X Y	20042	23364	22405	23795	24534	23608	23161	22648	23258	23756	29512	25043	20091	19241	24661	18920	22992
1.5X Y	18887	18660	18705	18221	19016	18936	26469	25336	20501	20643	24341	19817	20106	19595	18988	22231	19201
1.75X Y	19250	25051	20646	20144	26273	21305	24180	23616	23677	20348	19786	19895	19717	25039	19800	19735	22799
2X Y	25332	24805	24060	24594	25433	19913	20876	20442	25646	20869	19463	19906	21075	24286	19925	19837	20246
2.25X Y	20185	20332	20432	26485	21693	21551	21740	21503	21109	20600	24379	19612	24480	20820	20879	26545	21263
2.5X Y	26318	21029	20995	20472	20627	25313	21107	21425	25848	21840	27911	26997	26611	26078	24576	24130	22067
2.75X Y	21346	21558	21710	22375	27574	25550	19625	19803	19454	18750	22541	18625	17401	20641	14906	15363	16804
3X Y	26049	24061	21103	20469	24379	17398	22261	18050	16918	17242	17751	16593	25700	21384	21175	20344	19035
3.25X Y	25091	23507	18762	18862	20579	19285	19128	26709	22278	22297	22886	23824	25860	25073	24491	24418	19280
3.5X Y	20239	18825	27334	21698	21257	22167	22418	26033	23652	25484	21261	20840	21051	19958	26892	25851	22270
3.75X Y	22522	21988	21890	26709	22846	22129	21284	21054	26023	27546	26828	22261	23313	22098	25318	22562	25431
4X Y	22097	21646	21822	20992	28578	23533	28074	22548	28465	22168	26889	22860	22605	21828	21963	24606	16776
