	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	2817	13852	27865	30943	24630	27551	30157	23889	27659	26451	23775	29126	21781	21764	20375	18739	21026
0.25X F	3318	9956	24366	15610	16018	25639	23541	24332	23986	22512	27625	26875	26173	20391	21833	17693	20743
0.5X F	3364	17868	23665	23251	24329	27864	27644	28401	23975	20841	16889	18614	19438	34515	29485	22800	21715
0.75X F	3920	15732	25951	25838	17542	17422	22241	20886	33006	29777	21551	22155	21015	26014	24633	26521	22042
1X F	3621	11097	17300	31796	19348	19820	19919	19313	19897	23852	18076	24811	19204	20129	19925	27950	20817
1.25X F	3221	10772	19160	20188	18921	25264	20239	19634	20251	20853	33015	31456	5332	5012	7134	4101	9562
1.5X F	-1729	874	5462	2854	5415	3509	21620	7467	3582	5794	6979	5031	2555	4777	2310	2372	2676
1.75X F	-1619	9558	3139	3299	2957	2812	4547	4598	2389	2321	2570	2812	2822	13912	3864	3551	3044
2X F	-1556	1462	4631	2299	4182	2275	2474	3183	10405	3871	3466	3103	2993	5078	4169	4245	2502
2.25X F	-1710	686	3588	9963	3485	3408	3169	2893	2960	4603	2824	2773	2712	2897	5956	10655	4067
2.5X F	-1637	925	2160	2881	2676	2963	3057	3286	5647	3927	22840	4386	4454	4148	4520	3885	4193
2.75X F	-1559	1122	3313	4250	9558	24570	23468	24318	42199	34415	23539	22922	41160	27368	23598	23686	38140
3X F	1998	14408	31074	43397	22765	41517	37299	23167	35144	24155	23688	24980	42342	24696	23521	23116	23007
3.25X F	2284	17821	21740	25357	41572	39776	23825	40088	25236	23918	32578	37380	38194	38834	38503	23278	21713
3.5X F	2562	14533	37106	45349	24666	37020	40074	37389	37848	38513	24128	23251	24379	25316	38869	36118	24217
3.75X F	2854	18064	28125	38656	34515	25057	23356	24262	25340	24897	24309	29485	23439	24344	23182	24260	23951
4X F	2034	13739	24608	25958	44033	25639	41762	23826	26087	24469	25796	23838	25508	24686	25904	26473	36845
