	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	1795	3173	2830	2393	2303	2272	2334	2523	2385	2214	2283	2059	2755	2076	2296	1972	2153
0.25X F	18946	18820	23005	18399	18504	17221	23138	17908	18600	17471	18009	15220	17990	17695	16781	16219	15793
0.5X F	19839	26227	17478	18616	20009	18137	20816	20406	21195	19392	19663	17653	17456	20594	16603	18217	18011
0.75X F	15673	19753	20852	17877	19110	15373	15678	15754	18249	15321	15810	16095	15233	15288	14621	15254	14899
1X F	18220	15588	15537	22147	14696	14064	16587	16175	16616	17661	14927	15022	14874	14902	14549	15695	15597
1.25X F	15059	15581	15747	25972	15942	15578	15523	15044	15412	15619	16451	13869	8397	6421	6848	6723	6359
1.5X F	17213	6545	12399	7485	5343	5368	16329	9394	6638	6852	7109	5768	6877	7353	4750	4526	5165
1.75X F	5277	18054	8447	7412	6726	9980	8528	6126	5148	4668	4757	4404	4416	9651	6801	6412	5627
2X F	8527	5747	8116	6456	4859	4699	4216	5029	11231	7584	7066	6182	5510	5380	5691	4339	4291
2.25X F	6353	4651	5415	15987	8335	5884	6420	6900	8857	5212	5196	5147	5043	4764	4314	11367	7597
2.5X F	8398	7051	6321	6516	6033	6223	6312	6130	5973	6237	16431	8643	8630	6713	7051	6957	6824
2.75X F	8252	8643	8228	8226	10109	18421	16203	16809	16571	16644	15689	14840	15980	15243	14779	15485	5819
3X F	17826	16219	19954	17964	13941	16433	13697	12884	13930	12836	13175	12247	15704	16001	14757	14286	14051
3.25X F	16274	14424	13061	13047	13112	16005	18977	16302	16465	16097	17263	15208	15985	13117	15113	12444	13108
3.5X F	15161	28813	17355	19408	16335	16607	15103	16706	15690	14526	13798	14318	16253	15256	16136	15862	16457
3.75X F	17040	22205	20120	16795	15719	14554	15537	16562	18043	16894	17386	17646	16510	17158	16034	15205	16481
4X F	17190	16936	17336	21820	19425	17184	18088	16753	17447	17318	16591	16543	16045	17118	16684	12823	15555
