	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	3025	16823	16198	31233	20768	29154	17558	14705	26421	13207	15550	16148	27471	23842	15320	13320	15549
0.25X F	22305	22757	26083	21894	18814	23425	22967	38339	29889	25518	23219	24988	27584	29635	21236	26629	19648
0.5X F	26045	31811	40508	30837	34862	24550	33690	35094	23022	28611	27769	24453	24006	29361	37321	26919	25443
0.75X F	29220	32480	46265	30907	40330	27012	27073	25697	37037	36364	30544	28091	24013	24921	27518	25777	24621
1X F	32830	30718	31503	49254	43006	32883	42996	29232	27244	30915	28687	30087	25156	24767	25384	43249	45154
1.25X F	38713	36087	32090	53307	33603	39846	36528	35066	31806	30428	44487	6795	20346	18288	17485	30339	42316
1.5X F	46730	28022	43493	37104	23479	23953	37202	33841	19516	32262	37334	18821	38474	42700	30030	27567	31557
1.75X F	28874	44053	26459	23793	23110	36949	38204	30824	22329	18728	28377	18457	19108	44293	17152	17760	16879
2X F	41617	26472	40410	36346	22772	22479	21909	24089	38587	21316	20707	19459	18403	27761	38960	35143	16826
2.25X F	36282	28221	28523	41361	24040	17869	21949	33325	38042	20927	21687	20618	19496	19532	19515	42725	18705
2.5X F	31657	27344	24835	24320	23374	23364	22308	22435	21716	24084	39994	20387	20866	18978	19920	19117	19232
2.75X F	29704	29896	27301	25537	26507	50494	28249	28037	36388	43028	29367	33061	44014	30318	38594	32472	5677
3X F	48011	33419	45042	47776	37238	37789	39354	34519	45438	38108	28113	25690	40913	24749	27147	29921	34923
3.25X F	45331	45507	37924	32627	39579	38267	35793	37742	25847	31753	47296	36800	39517	41645	50152	36972	32606
3.5X F	43624	43987	37783	35271	27891	31391	38001	43011	45673	39333	32811	31213	34211	42407	46227	32557	28619
3.75X F	34993	40846	47559	41430	38256	38950	36029	35351	50200	38202	33965	32897	24667	30910	37616	35182	36707
4X F	45711	42651	37526	43946	57085	32859	39883	29331	30404	38720	26620	37274	26927	32887	33246	37964	5583
