	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	688	1671	59	13	-67	44	168	101	143	73	1	33	225	-119	-143	57	87
0.25X F	3694	4620	2197	937	409	1122	553	1167	444	817	295	461	895	817	449	361	380
0.5X F	4005	2782	3727	1291	671	594	1423	618	1082	1425	638	613	495	474	1004	584	298
0.75X F	7302	3220	2852	965	721	794	807	896	678	1203	1302	500	1244	1141	1033	517	353
1X F	6310	3558	1675	988	1394	1483	681	612	1362	595	461	518	541	535	505	375	1078
1.25X F	7145	3428	1820	1987	1146	947	671	768	627	748	819	517	495	134	236	127	660
1.5X F	11343	2844	3016	1387	1597	2297	854	360	409	330	665	1370	641	1183	302	366	293
1.75X F	10152	2297	698	747	635	700	1369	1279	1244	445	416	220	1125	96	169	329	259
2X F	8282	5357	3601	1672	1598	609	746	1854	176	304	416	445	625	1547	589	1024	336
2.25X F	7677	2646	3863	545	340	410	772	473	579	1933	479	411	381	405	1257	75	124
2.5X F	5439	1596	922	688	775	622	539	543	646	2196	347	498	216	280	200	104	923
2.75X F	5931	2149	996	792	3397	3989	712	382	1574	1234	916	6	34	-4	-141	196	1953
3X F	11261	1868	1297	245	1474	170	92	28	-186	70	-25	34	2170	1113	171	-58	-138
3.25X F	4985	848	207	207	294	244	473	1190	325	-4	368	968	465	510	-202	-284	-158
3.5X F	2843	2058	1619	603	559	1265	354	1159	64	42	107	-137	117	2063	839	1019	178
3.75X F	4077	3141	762	1691	1079	236	175	280	2383	1614	194	206	839	44	1006	203	810
4X F	4244	1916	3691	1444	2428	978	2836	2274	829	1991	2163	745	930	838	1065	1122	2008
