	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	1815	7164	8008	4292	10322	18935	16497	7912	9419	1586	8893	15132	15474	12269	9618	6701	13738
0.25X F	5877	4889	5220	2676	2084	3890	9101	10621	4153	4343	4249	5528	5068	7822	6160	4213	3427
0.5X F	6117	12076	24308	4438	4393	6050	10932	7226	15603	7947	4741	5613	6076	14474	13379	5171	4642
0.75X F	10182	11048	16328	7391	13486	8261	6620	10714	49947	13505	13001	12866	10448	13222	6725	6664	13436
1X F	9028	8587	10615	55712	31451	10548	9428	6807	4439	12989	10166	6438	11164	15022	13601	54714	12489
1.25X F	13542	10583	21125	21466	25634	15803	18168	18026	14765	22832	26074	9	7927	8627	10260	10690	4121
1.5X F	6800	14327	10559	9504	15202	9072	10131	8388	6822	5384	6224	2770	4861	6426	4689	7558	12114
1.75X F	7853	12331	8403	5206	7052	8049	8001	5758	9194	7246	9079	3662	10481	7093	10543	10715	9524
2X F	4650	3664	8633	6397	7220	7604	10278	12587	6315	4390	8485	9627	8640	9461	6396	3503	8552
2.25X F	5119	8612	14646	5098	8574	7500	10395	9301	10326	9035	9468	6846	10869	5902	6367	5627	5284
2.5X F	7952	10214	10303	5523	5061	7966	10297	7705	12362	7187	13402	5449	7323	8965	9176	6908	5639
2.75X F	10109	13846	10647	13892	14863	14817	2600	2606	3775	2672	1831	3011	3152	3043	2452	1759	1063
3X F	6812	5951	6077	4513	5043	4495	4868	3964	3829	2312	3202	2490	3004	2558	3423	3132	2654
3.25X F	3265	3483	3420	3554	2583	3514	1413	4132	2388	2568	3097	2813	3994	3200	3692	3386	2386
3.5X F	4452	4835	5238	3009	2110	1730	2583	2614	2476	2556	2925	1581	1781	4533	3266	1488	2122
3.75X F	3090	2891	3137	2480	3211	2449	1640	2535	2627	3723	1941	2579	2333	2738	1864	1805	2280
4X F	3706	2871	3032	7916	5505	3536	3244	3338	3467	2086	2981	1876	1804	1179	2812	9869	3358
