0.0830	0.4587	0.5633	0.6388	0.6085	0.6098	0.5417	0.5748	0.5780	0.5670	0.5312	0.4667
0.7045	0.9223	0.9100	0.9157	0.9708	0.9520	0.9537	0.9560	0.9650	0.9190	0.8422	0.0810
0.4153	0.5395	0.0798	0.6405	0.5953	0.5755	0.5573	0.5970	0.5540	0.5403	0.5533	0.3975
0.5610	0.5900	0.5945	0.0818	0.6157	0.6113	0.5400	0.5733	0.5683	0.5765	0.5200	0.3850
0.5115	0.4590	0.5513	0.5085	0.0813	0.5038	0.5600	0.5510	0.5897	0.5575	0.5308	0.4205
0.5380	0.5050	0.5870	0.5913	0.5773	0.0813	0.4858	0.5473	0.5597	0.5743	0.6233	0.4483
0.5078	0.4905	0.5520	0.5410	0.5720	0.6215	0.0838	0.5805	0.5835	0.5667	0.5663	0.5493
0.4090	0.5775	0.5988	0.5973	0.5710	0.5700	0.6120	0.0830	0.6015	0.6407	0.6035	0.5140
0.0803	0.4972	0.4158	0.4803	0.5108	0.4390	0.4263	0.4480	0.4390	0.4425	0.3760	0.3702
0.4690	0.0795	0.5980	0.5767	0.5710	0.5683	0.5477	0.6030	0.5870	0.5385	0.5068	0.4297
0.4530	0.6242	0.0785	0.4832	0.5475	0.5627	0.5250	0.4473	0.5110	0.5573	0.4753	0.4100
0.2880	0.5400	0.5110	0.0788	0.5580	0.5380	0.4710	0.4617	0.5045	0.5190	0.6005	0.4330
0.3615	0.6298	0.5668	0.5645	0.0783	0.5058	0.4733	0.5450	0.5593	0.5002	0.5415	0.4027
0.4060	0.5797	0.6020	0.6040	0.6133	0.0780	0.6073	0.5690	0.5728	0.5268	0.5393	0.3347
0.3620	0.5677	0.5317	0.5350	0.4680	0.4750	0.0780	0.4620	0.4243	0.4437	0.4430	0.3695
0.3605	0.6405	0.5503	0.5813	0.4962	0.4770	0.5630	0.0788	0.4892	0.4410	0.4540	0.4765
0.0863	0.5935	0.5660	0.5785	0.5750	0.5885	0.5730	0.5627	0.5633	0.5513	0.4882	0.2613
0.4895	0.0825	0.5050	0.4803	0.5595	0.5373	0.5682	0.5437	0.5493	0.5288	0.5268	0.4558
0.4698	0.4785	0.0825	0.5242	0.5425	0.5028	0.5415	0.4930	0.5300	0.5100	0.5280	0.4562
0.4315	0.4637	0.5140	0.0818	0.5565	0.5912	0.5277	0.5467	0.5270	0.5240	0.5517	0.4542
0.4940	0.5280	0.6048	0.5292	0.0833	0.5727	0.5495	0.5463	0.5348	0.5543	0.5582	0.4720
0.4600	0.5383	0.5417	0.5573	0.5445	0.0808	0.5525	0.5385	0.5315	0.5337	0.4680	0.4137
0.4400	0.5613	0.5785	0.5630	0.5860	0.5657	0.0833	0.5628	0.5740	0.5325	0.4962	0.4718
0.4788	0.5088	0.5170	0.4965	0.5310	0.4547	0.5038	0.0830	0.4818	0.5292	0.5302	0.4190
0.0820	0.4975	0.4942	0.5640	0.5740	0.6025	0.5755	0.5563	0.5815	0.5715	0.5615	0.4835
0.5217	0.0795	0.5577	0.6008	0.5817	0.5610	0.5870	0.5415	0.5405	0.5628	0.5560	0.5402
0.3742	0.5015	0.0812	0.4260	0.4173	0.4493	0.4697	0.4130	0.4407	0.4858	0.5040	0.5185
0.3665	0.5513	0.5235	0.0852	0.4892	0.5530	0.4883	0.5192	0.5380	0.5425	0.5673	0.5527
0.4295	0.5720	0.5575	0.6053	0.0800	0.4912	0.4828	0.4870	0.5058	0.5232	0.4938	0.5082
0.4385	0.5433	0.5860	0.5172	0.4990	0.0808	0.4613	0.4892	0.5398	0.4815	0.5242	0.3357
0.5270	0.5250	0.5453	0.5395	0.4675	0.4565	0.0832	0.3840	0.4555	0.4770	0.4927	0.3172
0.4088	0.6150	0.6038	0.5933	0.5812	0.5745	0.5702	0.0803	0.4848	0.5295	0.5115	0.3212
0.0815	0.5343	0.5522	0.5515	0.6462	0.6768	0.5862	0.6327	0.6407	0.5713	0.5437	0.4445
0.5310	0.0812	0.5857	0.6115	0.5873	0.5825	0.5655	0.5975	0.5440	0.5197	0.5350	0.3855
0.5403	0.6052	0.0803	0.6015	0.6100	0.6427	0.5945	0.6042	0.5725	0.5473	0.5288	0.4040
0.5217	0.6265	0.6697	0.6887	0.7265	0.7150	0.7385	0.7690	0.7782	0.8117	0.6200	0.0795
0.0805	0.0790	0.0793	0.0788	0.0793	0.0785	0.0785	0.0783	0.0783	0.0790	0.0788	0.0813
0.0785	0.0793	0.0850	0.0780	0.0797	0.0775	0.0780	0.0775	0.0777	0.0770	0.0803	0.0788
0.0807	0.0798	0.0800	0.0785	0.0783	0.0785	0.0780	0.0790	0.0833	0.0780	0.0818	0.0803
0.0795	0.0800	0.0793	0.0793	0.0803	0.0828	0.0818	0.0805	0.0805	0.0855	0.0785	0.0860
