0.084	0.519	0.619	0.794	0.699	0.744	0.730	0.804	0.796	0.508	0.593	0.129
0.707	0.896	0.927	0.787	0.976	0.958	0.927	0.951	0.966	0.886	0.874	0.081
0.566	0.648	0.081	0.854	0.780	0.644	0.674	0.713	0.651	0.682	0.680	0.232
0.731	0.616	0.685	0.079	0.688	0.724	0.644	0.682	0.679	0.691	0.607	0.098
0.678	0.365	0.717	0.478	0.082	0.412	0.694	0.705	0.649	0.701	0.704	0.083
0.681	0.471	0.561	0.610	0.598	0.091	0.648	0.607	0.598	0.606	0.785	0.224
0.591	0.539	0.667	0.656	0.644	0.673	0.089	0.672	0.625	0.731	0.606	0.460
0.631	0.793	0.694	0.702	0.641	0.609	0.695	0.083	0.653	0.691	0.682	0.434
0.078	0.502	0.331	0.488	0.542	0.488	0.398	0.504	0.528	0.449	0.418	0.411
0.524	0.080	0.544	0.511	0.554	0.562	0.638	0.592	0.573	0.558	0.467	0.435
0.591	0.621	0.078	0.470	0.437	0.504	0.449	0.389	0.350	0.542	0.446	0.472
0.320	0.440	0.479	0.078	0.476	0.484	0.393	0.403	0.455	0.472	0.605	0.475
0.517	0.639	0.556	0.580	0.080	0.517	0.323	0.523	0.509	0.516	0.472	0.347
0.481	0.520	0.584	0.557	0.554	0.078	0.484	0.570	0.544	0.552	0.478	0.279
0.518	0.530	0.485	0.541	0.471	0.436	0.078	0.420	0.395	0.462	0.456	0.388
0.487	0.570	0.401	0.430	0.433	0.349	0.382	0.078	0.443	0.430	0.499	0.492
0.082	0.465	0.412	0.491	0.487	0.490	0.497	0.508	0.519	0.464	0.398	0.114
0.455	0.084	0.450	0.346	0.480	0.501	0.484	0.477	0.514	0.462	0.466	0.361
0.391	0.406	0.082	0.400	0.464	0.415	0.495	0.411	0.495	0.471	0.471	0.487
0.403	0.418	0.424	0.082	0.465	0.501	0.479	0.479	0.503	0.449	0.502	0.458
0.500	0.474	0.495	0.498	0.083	0.491	0.469	0.482	0.509	0.501	0.537	0.479
0.494	0.498	0.465	0.490	0.476	0.080	0.487	0.468	0.467	0.453	0.450	0.477
0.459	0.519	0.510	0.504	0.495	0.497	0.079	0.508	0.496	0.476	0.469	0.550
0.432	0.439	0.452	0.461	0.463	0.410	0.458	0.080	0.448	0.480	0.486	0.546
0.078	0.584	0.636	0.707	0.502	0.592	0.558	0.523	0.582	0.544	0.561	0.520
0.707	0.078	0.567	0.572	0.554	0.513	0.552	0.482	0.515	0.540	0.538	0.618
0.414	0.520	0.077	0.452	0.352	0.375	0.471	0.365	0.411	0.455	0.518	0.590
0.078	0.557	0.554	0.079	0.484	0.577	0.502	0.560	0.458	0.447	0.566	0.574
0.094	0.553	0.750	0.518	0.079	0.476	0.522	0.566	0.567	0.525	0.511	0.537
0.107	0.432	0.685	0.500	0.498	0.076	0.471	0.462	0.476	0.508	0.478	0.420
0.099	0.560	0.589	0.582	0.595	0.370	0.077	0.399	0.391	0.491	0.567	0.441
0.088	0.758	0.548	0.509	0.532	0.528	0.578	0.078	0.562	0.549	0.465	0.311
0.080	0.422	0.487	0.488	0.494	0.488	0.501	0.532	0.540	0.528	0.546	0.399
0.494	0.081	0.541	0.491	0.539	0.510	0.493	0.507	0.482	0.501	0.481	0.205
0.467	0.487	0.078	0.502	0.497	0.492	0.505	0.501	0.485	0.479	0.451	0.276
0.561	0.645	0.696	0.716	0.816	0.769	0.769	0.862	0.909	0.869	0.540	0.080
0.084	0.078	0.078	0.078	0.079	0.077	0.078	0.079	0.079	0.082	0.078	0.086
0.079	0.078	0.077	0.078	0.078	0.077	0.080	0.077	0.077	0.077	0.088	0.080
0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.084
0.079	0.079	0.078	0.079	0.079	0.079	0.078	0.079	0.079	0.079	0.079	0.086
