	0X L 	0.25X L 	0.5X L 	0.75X L	1X L	1.25X L	1.5X L	1.75X L	2X L	2.25X L	2.5X L	2.75X L	3X L	3.25X L	3.5X L	3.75X L	4X L
0X F	4617	23348	21254	30859	24525	24964	28358	19643	24029	21944	22929	26982	28712	23267	18280	18452	15236
0.25X F	19894	31555	25227	22957	15743	26368	21803	32036	21181	23698	15736	16102	22918	20725	16569	18107	17728
0.5X F	16370	23253	37057	29518	20596	16738	24055	18725	21308	21658	17979	16868	16268	21244	28854	21323	19647
0.75X F	14666	18275	24846	15151	16717	16760	17627	18957	21200	28835	26714	20352	23759	24892	24609	18519	17717
1X F	14841	19480	20079	21824	28251	26929	20920	19345	26237	19229	19923	20157	20844	21295	21486	21423	31607
1.25X F	15313	22217	22750	31448	22004	21345	21313	21451	21434	22105	22386	18871	18711	17278	15675	14758	21745
1.5X F	16518	16915	29281	24154	26681	38789	19451	11951	16351	15162	19147	25627	18980	25392	18162	17955	18290
1.75X F	19303	14815	14446	18978	18223	18874	25205	28673	24472	18794	18702	18320	27488	14210	14604	18032	17614
2X F	16838	30064	32939	27935	27052	18676	19695	30259	14949	14807	18237	18777	19365	30842	19513	25786	17814
2.25X F	14343	20108	39028	16276	13039	16262	19194	18926	18716	28683	18990	18877	18902	19151	31659	16136	14463
2.5X F	9964	12176	16216	18625	19004	18845	19058	19718	19816	34667	18138	17820	16533	15765	16441	15717	24069
2.75X F	10912	13855	15633	19658	39855	52618	13305	12113	19156	17602	17624	8633	9233	9275	9016	13024	31764
3X F	13139	9570	9612	8172	16635	7813	6944	6442	6825	7978	8266	11009	34561	20523	10863	8722	8652
3.25X F	5171	6360	5879	6594	7392	8571	10556	18845	12455	10541	9855	19700	14051	14386	6786	6920	7545
3.5X F	3504	10117	17608	11880	11295	17068	10504	16666	8226	8139	8379	7991	9495	26863	21145	21942	11939
3.75X F	4632	12059	8663	14633	14314	8679	8918	9890	27677	28899	12602	11842	17428	10178	18886	10921	20247
4X F	5877	9713	18087	15750	25167	17509	30244	24826	16491	25016	28562	17183	18113	18332	21473	27922	30315
